date,year,home_team,away_team,home_score,away_score,home_win,home_ml,away_ml
2026-03-18,2026,ARI,CHC,16,8,1,-119.0,-52.0
2026-03-18,2026,ATL,PHI,3,2,1,-164.0,137.0
2026-03-18,2026,CIN,COL,6,8,0,,
2026-03-18,2026,LAA,CIN,7,4,1,,
2026-03-18,2026,LAD,SFG,5,1,1,-156.0,129.0
2026-03-18,2026,MIL,LAA,3,4,0,,
2026-03-18,2026,PIT,DET,3,1,1,-115.0,-105.0
2026-03-18,2026,SEA,MIL,7,3,1,,
2026-03-18,2026,STL,HOU,4,1,1,114.0,-138.0
2026-03-18,2026,TEX,KCR,12,3,1,-153.0,127.0
2026-03-18,2026,TOR,BAL,2,3,0,-133.0,110.0
2026-03-19,2026,BAL,PIT,5,2,1,,
2026-03-19,2026,BOS,MIN,4,2,1,-142.0,118.0
2026-03-19,2026,CHW,ARI,4,2,1,,
2026-03-19,2026,CLE,KCR,6,5,1,,
2026-03-19,2026,COL,SFG,11,14,0,128.0,-154.0
2026-03-19,2026,HOU,NYM,2,6,0,108.0,-130.0
2026-03-19,2026,KCR,LAA,3,4,0,,
2026-03-19,2026,MIL,TEX,11,4,1,-147.0,122.0
2026-03-19,2026,NYY,BAL,5,4,1,,
2026-03-19,2026,ATH,SEA,4,6,0,-133.0,60.0
2026-03-19,2026,PHI,TBR,8,2,1,-152.0,126.0
2026-03-19,2026,SDP,CHW,13,6,1,,
2026-03-19,2026,STL,WSN,5,1,1,-114.0,-106.0
2026-03-20,2026,ARI,MIL,8,7,1,-112.0,-108.0
2026-03-20,2026,ATL,PIT,8,1,1,-144.0,70.0
2026-03-20,2026,CHC,CIN,6,8,0,,
2026-03-20,2026,CLE,SEA,8,20,0,-108.0,-112.0
2026-03-20,2026,HOU,MIA,4,7,0,,
2026-03-20,2026,LAA,CHW,4,3,1,-136.0,113.0
2026-03-20,2026,LAD,SDP,4,3,1,,
2026-03-20,2026,MIA,WSN,3,2,1,,
2026-03-20,2026,MIN,TOR,1,2,0,-66.0,-5.0
2026-03-20,2026,NYM,STL,3,4,0,-129.0,108.0
2026-03-20,2026,NYY,BAL,3,1,1,-155.0,128.0
2026-03-20,2026,ATH,CHC,6,2,1,,
2026-03-20,2026,PHI,DET,4,4,0,-51.0,-120.0
2026-03-20,2026,SDP,COL,3,9,0,,
2026-03-20,2026,SFG,KCR,5,2,1,,
2026-03-20,2026,TEX,SFG,6,5,1,,
2026-03-21,2026,ARI,TEX,5,2,1,-131.0,60.0
