game_date,home_team,away_team,home_ml,away_ml,home_implied,away_implied,consensus_prob,home_runs,away_runs
2022-04-07,ARI,SDP,120.0,-140.0,0.4545,0.5833,0.438,4.0,2.0
2022-04-07,ATL,CIN,-185.0,157.0,0.6491,0.3891,0.6252,3.0,6.0
2022-04-07,CHC,MIL,155.0,-184.0,0.3922,0.6479,0.3771,5.0,4.0
2022-04-07,KCR,CLE,106.0,-125.0,0.4854,0.5556,0.4663,3.0,1.0
2022-04-07,LAA,HOU,-123.0,105.0,0.5516,0.4878,0.5307,1.0,3.0
2022-04-07,STL,PIT,-160.0,135.0,0.6154,0.4255,0.5912,9.0,0.0
2022-04-07,WSN,NYM,104.0,-122.0,0.4902,0.5495,0.4715,1.0,5.0
2022-04-08,ARI,SDP,116.0,-137.0,0.463,0.5781,0.4447,0.0,3.0
2022-04-08,ATL,CIN,-192.0,162.0,0.6575,0.3817,0.6327,7.0,6.0
2022-04-08,COL,LAD,178.0,-216.0,0.3597,0.6835,0.3448,3.0,5.0
2022-04-08,DET,CHW,120.0,-141.0,0.4545,0.5851,0.4372,5.0,4.0
2022-04-08,LAA,HOU,-125.0,108.0,0.5556,0.4808,0.5361,6.0,13.0
2022-04-08,MIN,SEA,-121.0,104.0,0.5475,0.4902,0.5276,1.0,2.0
2022-04-08,NYY,BOS,-185.0,155.0,0.6491,0.3922,0.6234,6.0,5.0
2022-04-08,PHI,ATH,-207.0,172.0,0.6743,0.3676,0.6471,9.0,5.0
2022-04-08,SFG,MIA,-152.0,130.0,0.6032,0.4348,0.5811,6.0,5.0
2022-04-08,TBR,BAL,-191.0,161.0,0.6564,0.3831,0.6314,2.0,1.0
2022-04-08,TOR,TEX,-176.0,147.0,0.6377,0.4049,0.6117,10.0,8.0
2022-04-08,WSN,NYM,145.0,-175.0,0.4082,0.6364,0.3908,3.0,7.0
2022-04-09,ARI,SDP,142.0,-171.0,0.4132,0.631,0.3957,2.0,5.0
2022-04-09,ATL,CIN,-177.0,152.0,0.639,0.3968,0.6169,2.0,1.0
2022-04-09,CHC,MIL,137.0,-159.0,0.4219,0.6139,0.4073,9.0,0.0
2022-04-09,COL,LAD,131.0,-155.0,0.4329,0.6078,0.416,3.0,2.0
2022-04-09,DET,CHW,115.0,-135.0,0.4651,0.5745,0.4474,2.0,5.0
2022-04-09,KCR,CLE,-125.0,105.0,0.5556,0.4878,0.5325,1.0,0.0
2022-04-09,LAA,HOU,-109.0,-108.0,0.5215,0.5192,0.5011,2.0,0.0
2022-04-09,MIN,SEA,-142.0,120.0,0.5868,0.4545,0.5635,3.0,4.0
2022-04-09,NYY,BOS,-162.0,135.0,0.6183,0.4255,0.5923,4.0,2.0
2022-04-09,PHI,ATH,-200.0,170.0,0.6667,0.3704,0.6429,4.0,2.0
2022-04-09,SFG,MIA,-149.0,125.0,0.5984,0.4444,0.5738,1.0,2.0
2022-04-09,STL,PIT,-171.0,144.0,0.631,0.4098,0.6062,6.0,2.0
2022-04-09,TBR,BAL,-225.0,188.0,0.6923,0.3472,0.666,5.0,3.0
2022-04-09,TOR,TEX,-220.0,182.0,0.6875,0.3546,0.6597,4.0,3.0
2022-04-09,WSN,NYM,130.0,-154.0,0.4348,0.6063,0.4176,0.0,5.0
2022-04-10,ARI,SDP,135.0,-160.0,0.4255,0.6154,0.4088,5.0,10.0
2022-04-10,ATL,CIN,-185.0,155.0,0.6491,0.3922,0.6234,3.0,6.0
2022-04-10,CHC,MIL,115.0,-137.0,0.4651,0.5781,0.4459,4.0,5.0
2022-04-10,COL,LAD,175.0,-210.0,0.3636,0.6774,0.3493,9.0,4.0
2022-04-10,DET,CHW,114.0,-132.0,0.4673,0.569,0.4509,1.0,10.0
2022-04-10,KCR,CLE,-118.0,101.0,0.5413,0.4975,0.5211,3.0,17.0
2022-04-10,LAA,HOU,-106.0,-110.0,0.5146,0.5238,0.4955,1.0,4.0
2022-04-10,MIN,SEA,-140.0,120.0,0.5833,0.4545,0.562,10.0,4.0
2022-04-10,NYY,BOS,-142.0,123.0,0.5868,0.4484,0.5668,3.0,4.0
2022-04-10,PHI,ATH,-235.0,194.0,0.7015,0.3401,0.6735,1.0,4.0
2022-04-10,SFG,MIA,-115.0,-104.0,0.5349,0.5098,0.512,3.0,2.0
2022-04-10,STL,PIT,-227.0,190.0,0.6942,0.3448,0.6681,4.0,9.0
2022-04-10,TBR,BAL,-177.0,150.0,0.639,0.4,0.615,8.0,0.0
2022-04-10,TOR,TEX,-221.0,184.0,0.6885,0.3521,0.6616,6.0,12.0
2022-04-10,WSN,NYM,118.0,-137.0,0.4587,0.5781,0.4424,4.0,2.0
