game_date,home_team,away_team,home_ml,away_ml,home_implied,away_implied,consensus_prob,home_runs,away_runs
2026-03-18,ARI,CHC,-123.5,33.3,0.5526,0.75,0.4242,16,8
2026-03-18,ATL,PHI,-167.7,136.0,0.6264,0.4237,0.5965,3,2
2026-03-18,LAD,SFG,-153.8,124.8,0.606,0.4448,0.5767,5,1
2026-03-18,NYY,BOS,-160.8,130.0,0.6166,0.4348,0.5865,1,0
2026-03-18,PIT,DET,-115.5,-104.7,0.536,0.5114,0.5117,3,1
2026-03-18,STL,HOU,114.3,-140.0,0.4666,0.5833,0.4444,4,1
2026-03-18,TEX,KCR,-148.7,123.5,0.5979,0.4474,0.572,12,3
2026-03-18,TOR,BAL,-133.2,108.3,0.5711,0.48,0.5433,2,3
2026-03-19,BOS,MIN,-144.8,118.0,0.5916,0.4587,0.5632,4,2
2026-03-19,COL,SFG,128.2,-154.2,0.4383,0.6066,0.4195,11,14
2026-03-19,HOU,NYM,108.2,-129.3,0.4804,0.564,0.46,2,6
2026-03-19,MIL,TEX,-148.2,123.2,0.597,0.4481,0.5713,11,4
2026-03-19,OAK,SEA,-133.7,77.5,0.572,0.5634,0.5038,4,6
2026-03-19,PHI,TBR,-151.8,126.8,0.6029,0.4409,0.5776,8,2
2026-03-19,STL,WSN,-113.3,-106.8,0.5312,0.5165,0.507,5,1
2026-03-20,ARI,MIL,-114.8,-72.2,0.5345,0.4192,0.5605,8,7
2026-03-20,ATL,PIT,-149.5,90.8,0.5992,0.524,0.5335,8,1
2026-03-20,CLE,SEA,-107.3,-112.8,0.5177,0.5301,0.4941,8,20
2026-03-20,LAA,CHW,-135.7,113.8,0.5757,0.4677,0.5518,4,3
2026-03-20,MIN,TOR,-82.5,-5.0,0.4521,0.0476,0.9047,1,2
2026-03-20,NYM,STL,-127.8,106.7,0.5611,0.4839,0.5369,3,4
2026-03-20,NYY,BAL,-158.5,130.7,0.6132,0.4335,0.5858,3,1
2026-03-20,PHI,DET,-71.7,-115.7,0.4175,0.5363,0.4377,4,4
2026-03-20,TBR,BOS,-159.0,132.2,0.6139,0.4307,0.5877,2,0
2026-03-21,ARI,TEX,-130.5,75.7,0.5662,0.5693,0.4986,5,2
2026-03-21,BAL,PHI,-142.0,117.5,0.5868,0.4598,0.5607,10,8
2026-03-21,BOS,ATL,-131.7,109.7,0.5683,0.4769,0.5437,1,6
2026-03-21,CIN,CHW,-133.3,110.5,0.5714,0.4751,0.546,11,7
2026-03-21,DET,NYY,-145.3,119.8,0.5924,0.4549,0.5656,3,1
2026-03-21,KCR,COL,-158.3,130.5,0.6129,0.4338,0.5855,6,5
2026-03-21,LAD,OAK,-153.3,126.7,0.6053,0.4412,0.5784,5,5
2026-03-21,MIL,SDP,-143.0,85.2,0.5885,0.5401,0.5215,6,1
2026-03-21,PIT,TOR,-125.3,71.0,0.5562,0.5848,0.4875,8,3
2026-03-21,SEA,CHC,-160.0,99.7,0.6154,0.5008,0.5513,1,7
2026-03-21,SFG,CLE,-153.0,94.2,0.6047,0.515,0.5401,10,7
