date,matchup,home_score,away_score,bet_side,stake,odds,model_prob,vegas_prob,edge,odds_bucket,edge_threshold,policy_reason,won,game_pnl,bankroll,home_team,away_team,side_home_away,is_favorite,sp_name,opp_sp_name,sp_throws,opp_sp_throws,close_prob,clv_prob,season_phase
2025-03-18,LAD @ CHC,1.0,4.0,,0.0,,,,,,,missing odds,,0.0,100.0,CHC,LAD,,,,,,,,,
2025-03-19,LAD @ CHC,3.0,6.0,,0.0,,,,,,,missing odds,,0.0,100.0,CHC,LAD,,,,,,,,,
2025-03-27,MIN @ STL,5.0,3.0,,0.0,-104.7,0.5176,0.4885,0.0291,-115:+100,,-115:+100 excluded by static_underdog_130_170,,0.0,100.0,STL,MIN,home,True,Sonny Gray,Pablo Lopez,R,R,,,early
2025-03-27,PIT @ MIA,5.0,4.0,,0.0,128.5,0.4575,0.42,0.0374,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,100.0,MIA,PIT,home,False,Sandy Alcantara,Paul Skenes,R,R,,,early
2025-03-27,PHI @ WSN,3.0,7.0,,0.0,134.5,0.4485,0.4097,0.0387,+130:+170,0.06,edge <= 6% threshold,,0.0,100.0,WSN,PHI,home,False,MacKenzie Gore,Zack Wheeler,L,R,,,early
2025-03-27,BAL @ TOR,2.0,12.0,,0.0,,,,,,,missing odds,,0.0,100.0,TOR,BAL,,,,,,,,,
2025-03-27,DET @ LAD,5.0,4.0,,0.0,135.5,0.4638,0.405,0.0587,+130:+170,0.06,edge <= 6% threshold,,0.0,100.0,LAD,DET,away,False,Tarik Skubal,Blake Snell,L,L,,,early
2025-03-27,NYM @ HOU,3.0,1.0,,0.0,,,,,,,missing odds,,0.0,100.0,HOU,NYM,,,,,,,,,
2025-03-27,CLE @ KCR,4.0,7.0,,0.0,136.3,0.4243,0.4046,0.0197,+130:+170,0.06,edge <= 6% threshold,,0.0,100.0,KCR,CLE,away,False,Ben Lively,Cole Ragans,R,L,,,early
2025-03-27,ATL @ SDP,7.0,4.0,,0.0,,,,,,,missing odds,,0.0,100.0,SDP,ATL,,,,,,,,,
2025-03-27,CHC @ ARI,6.0,10.0,,0.0,112.2,0.4824,0.4522,0.0301,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,100.0,ARI,CHC,away,False,Justin Steele,Zac Gallen,L,R,,,early
2025-03-27,BOS @ TEX,2.0,5.0,,0.0,-86.2,0.5376,0.4365,0.1011,-115:+100,,-115:+100 excluded by static_underdog_130_170,,0.0,100.0,TEX,BOS,away,True,Garrett Crochet,Nathan Eovaldi,L,R,,,early
2025-03-27,LAA @ CHW,8.0,1.0,CHW,2.15,132.7,0.4788,0.4128,0.0659,+130:+170,0.06,static_underdog_130_170: +130:+170 edge > 6%,True,2.85,102.85,CHW,LAA,home,False,Sean Burke,Yusei Kikuchi,R,L,,,early
2025-03-27,SFG @ CIN,4.0,6.0,,0.0,-111.0,0.5227,0.5033,0.0194,-115:+100,,-115:+100 excluded by static_underdog_130_170,,0.0,102.85,CIN,SFG,home,True,Hunter Greene,Logan Webb,R,R,,,early
2025-03-27,MIL @ NYY,4.0,2.0,,0.0,127.2,0.4982,0.4219,0.0763,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,102.85,NYY,MIL,away,False,Freddy Peralta,Carlos Rodon,R,L,,,early
2025-03-28,PIT @ MIA,3.0,4.0,,0.0,121.3,0.4686,0.434,0.0346,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,102.85,MIA,PIT,home,False,Connor Gillispie,Mitch Keller,R,R,,,early
2025-03-28,DET @ LAD,8.0,5.0,,0.0,181.8,0.4465,0.3407,0.1058,+170+,,+170+ excluded by static_underdog_130_170,,0.0,102.85,LAD,DET,away,False,Jack Flaherty,Yoshinobu Yamamoto,R,R,,,early
2025-03-28,CHC @ ARI,8.0,1.0,,0.0,120.3,0.4989,0.4356,0.0633,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,102.85,ARI,CHC,away,False,Jameson Taillon,Merrill Kelly,R,R,,,early
2025-03-28,NYM @ HOU,1.0,3.0,,0.0,,,,,,,missing odds,,0.0,102.85,HOU,NYM,,,,,,,,,
2025-03-28,BOS @ TEX,4.0,1.0,,0.0,,,,,,,missing odds,,0.0,102.85,TEX,BOS,,,,,,,,,
2025-03-28,BAL @ TOR,8.0,2.0,,0.0,176.3,0.5141,0.3323,0.1819,+170+,,+170+ excluded by static_underdog_130_170,,0.0,102.85,TOR,BAL,away,False,Charlie Morton,Kevin Gausman,R,R,,,early
2025-03-28,ATL @ SDP,4.0,3.0,,0.0,113.2,0.466,0.4513,0.0147,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,102.85,SDP,ATL,away,False,Reynaldo Lopez,Dylan Cease,R,R,,,early
2025-03-28,COL @ TBR,3.0,2.0,,0.0,175.5,0.4893,0.3468,0.1424,+170+,,+170+ excluded by static_underdog_130_170,,0.0,102.85,TBR,COL,away,False,Kyle Freeland,Ryan Pepiot,L,R,,,early
2025-03-29,CLE @ KCR,4.0,3.0,,0.0,,,,,,,missing odds,,0.0,102.85,KCR,CLE,,,,,,,,,
2025-03-29,PHI @ WSN,6.0,11.0,,0.0,131.2,0.4298,0.4154,0.0143,+130:+170,0.06,edge <= 6% threshold,,0.0,102.85,WSN,PHI,home,False,Jake Irvin,Jesus Luzardo,R,L,,,early
2025-03-29,MIL @ NYY,20.0,9.0,MIL,2.93,140.7,0.482,0.3986,0.0834,+130:+170,0.06,static_underdog_130_170: +130:+170 edge > 6%,False,-2.93,99.92,NYY,MIL,away,False,Nestor Cortes,Max Fried,L,L,,,early
