date,matchup,home_score,away_score,bet_side,stake,odds,model_prob,vegas_prob,edge,odds_bucket,edge_threshold,policy_reason,won,game_pnl,bankroll,home_team,away_team,side_home_away,is_favorite,sp_name,opp_sp_name,sp_throws,opp_sp_throws,close_prob,clv_prob,season_phase
2025-03-18,LAD @ CHC,1.0,4.0,,0.0,,,,,,,missing odds,,0.0,100.0,CHC,LAD,,,,,,,,,
2025-03-19,LAD @ CHC,3.0,6.0,,0.0,,,,,,,missing odds,,0.0,100.0,CHC,LAD,,,,,,,,,
2025-03-27,CLE @ KCR,4.0,7.0,,0.0,136.3,0.4399,0.4046,0.0352,+130:+170,0.06,edge <= 6% threshold,,0.0,100.0,KCR,CLE,away,False,Ben Lively,Cole Ragans,R,L,,,early
2025-03-27,LAA @ CHW,8.0,1.0,,0.0,-157.2,0.6131,0.5872,0.026,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,100.0,CHW,LAA,away,True,Yusei Kikuchi,Sean Burke,L,R,,,early
2025-03-27,BAL @ TOR,2.0,12.0,,0.0,,,,,,,missing odds,,0.0,100.0,TOR,BAL,,,,,,,,,
2025-03-27,DET @ LAD,5.0,4.0,,0.0,135.5,0.4137,0.405,0.0087,+130:+170,0.06,edge <= 6% threshold,,0.0,100.0,LAD,DET,away,False,Tarik Skubal,Blake Snell,L,L,,,early
2025-03-27,NYM @ HOU,3.0,1.0,,0.0,,,,,,,missing odds,,0.0,100.0,HOU,NYM,,,,,,,,,
2025-03-27,BOS @ TEX,2.0,5.0,,0.0,-86.2,0.4459,0.4365,0.0094,-115:+100,,-115:+100 excluded by static_underdog_130_170,,0.0,100.0,TEX,BOS,away,True,Garrett Crochet,Nathan Eovaldi,L,R,,,early
2025-03-27,MIL @ NYY,4.0,2.0,,0.0,127.2,0.4556,0.4219,0.0337,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,100.0,NYY,MIL,away,False,Freddy Peralta,Carlos Rodon,R,L,,,early
2025-03-27,ATL @ SDP,7.0,4.0,,0.0,,,,,,,missing odds,,0.0,100.0,SDP,ATL,,,,,,,,,
2025-03-27,MIN @ STL,5.0,3.0,,0.0,-104.7,0.5167,0.4885,0.0281,-115:+100,,-115:+100 excluded by static_underdog_130_170,,0.0,100.0,STL,MIN,home,True,Sonny Gray,Pablo Lopez,R,R,,,early
2025-03-27,PIT @ MIA,5.0,4.0,,0.0,-152.7,0.6116,0.58,0.0316,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,100.0,MIA,PIT,away,True,Paul Skenes,Sandy Alcantara,R,R,,,early
2025-03-27,SFG @ CIN,4.0,6.0,,0.0,-111.0,0.5268,0.5033,0.0235,-115:+100,,-115:+100 excluded by static_underdog_130_170,,0.0,100.0,CIN,SFG,home,True,Hunter Greene,Logan Webb,R,R,,,early
2025-03-27,PHI @ WSN,3.0,7.0,,0.0,-159.3,0.6131,0.5903,0.0229,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,100.0,WSN,PHI,away,True,Zack Wheeler,MacKenzie Gore,R,L,,,early
2025-03-27,CHC @ ARI,6.0,10.0,,0.0,-133.0,0.5558,0.5478,0.008,-140:-115,,-140:-115 excluded by static_underdog_130_170,,0.0,100.0,ARI,CHC,home,True,Zac Gallen,Justin Steele,R,L,,,early
2025-03-28,PIT @ MIA,3.0,4.0,,0.0,-143.5,0.6188,0.566,0.0528,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,100.0,MIA,PIT,away,True,Mitch Keller,Connor Gillispie,R,R,,,early
2025-03-28,NYM @ HOU,1.0,3.0,,0.0,,,,,,,missing odds,,0.0,100.0,HOU,NYM,,,,,,,,,
2025-03-28,DET @ LAD,8.0,5.0,,0.0,181.8,0.3927,0.3407,0.052,+170+,,+170+ excluded by static_underdog_130_170,,0.0,100.0,LAD,DET,away,False,Jack Flaherty,Yoshinobu Yamamoto,R,R,,,early
2025-03-28,BOS @ TEX,4.0,1.0,,0.0,,,,,,,missing odds,,0.0,100.0,TEX,BOS,,,,,,,,,
2025-03-28,COL @ TBR,3.0,2.0,,0.0,175.5,0.3721,0.3468,0.0253,+170+,,+170+ excluded by static_underdog_130_170,,0.0,100.0,TBR,COL,away,False,Kyle Freeland,Ryan Pepiot,L,R,,,early
2025-03-28,ATL @ SDP,4.0,3.0,,0.0,-132.7,0.5738,0.5487,0.0251,-140:-115,,-140:-115 excluded by static_underdog_130_170,,0.0,100.0,SDP,ATL,home,True,Dylan Cease,Reynaldo Lopez,R,R,,,early
2025-03-28,CHC @ ARI,8.0,1.0,,0.0,120.3,0.4427,0.4356,0.0071,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,100.0,ARI,CHC,away,False,Jameson Taillon,Merrill Kelly,R,R,,,early
2025-03-28,BAL @ TOR,8.0,2.0,,0.0,176.3,0.3555,0.3323,0.0233,+170+,,+170+ excluded by static_underdog_130_170,,0.0,100.0,TOR,BAL,away,False,Charlie Morton,Kevin Gausman,R,R,,,early
2025-03-29,CHC @ ARI,3.0,4.0,,0.0,,,,,,,missing odds,,0.0,100.0,ARI,CHC,,,,,,,,,
2025-03-29,MIL @ NYY,20.0,9.0,MIL,2.06,140.7,0.4637,0.3986,0.0651,+130:+170,0.06,static_underdog_130_170: +130:+170 edge > 6%,False,-2.06,97.94,NYY,MIL,away,False,Nestor Cortes,Max Fried,L,L,,,early
2025-03-29,LAA @ CHW,0.0,1.0,,0.0,-163.8,0.6356,0.5941,0.0415,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,97.94,CHW,LAA,away,True,Jose Soriano,Jonathan Cannon,R,R,,,early
