date,matchup,home_score,away_score,bet_side,stake,odds,model_prob,vegas_prob,edge,odds_bucket,edge_threshold,policy_reason,won,game_pnl,bankroll,home_team,away_team,side_home_away,is_favorite,sp_name,opp_sp_name,sp_throws,opp_sp_throws,close_prob,clv_prob,season_phase
2025-03-18,LAD @ CHC,1.0,4.0,,0.0,,,,,,,missing odds,,0.0,100.0,CHC,LAD,,,,,,,,,
2025-03-19,LAD @ CHC,3.0,6.0,,0.0,,,,,,,missing odds,,0.0,100.0,CHC,LAD,,,,,,,,,
2025-03-27,CLE @ KCR,4.0,7.0,,0.0,136.3,0.4336,0.4046,0.029,+130:+170,0.06,edge <= 6% threshold,,0.0,100.0,KCR,CLE,away,False,Ben Lively,Cole Ragans,R,L,,,early
2025-03-27,LAA @ CHW,8.0,1.0,CHW,2.01,132.7,0.4756,0.4128,0.0627,+130:+170,0.06,static_underdog_130_170: +130:+170 edge > 6%,True,2.67,102.67,CHW,LAA,home,False,Sean Burke,Yusei Kikuchi,R,L,,,early
2025-03-27,BAL @ TOR,2.0,12.0,,0.0,,,,,,,missing odds,,0.0,102.67,TOR,BAL,,,,,,,,,
2025-03-27,DET @ LAD,5.0,4.0,,0.0,135.5,0.4527,0.405,0.0477,+130:+170,0.06,edge <= 6% threshold,,0.0,102.67,LAD,DET,away,False,Tarik Skubal,Blake Snell,L,L,,,early
2025-03-27,NYM @ HOU,3.0,1.0,,0.0,,,,,,,missing odds,,0.0,102.67,HOU,NYM,,,,,,,,,
2025-03-27,BOS @ TEX,2.0,5.0,,0.0,-86.2,0.54,0.4365,0.1035,-115:+100,,-115:+100 excluded by static_underdog_130_170,,0.0,102.67,TEX,BOS,away,True,Garrett Crochet,Nathan Eovaldi,L,R,,,early
2025-03-27,MIL @ NYY,4.0,2.0,,0.0,127.2,0.4688,0.4219,0.0469,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,102.67,NYY,MIL,away,False,Freddy Peralta,Carlos Rodon,R,L,,,early
2025-03-27,ATL @ SDP,7.0,4.0,,0.0,,,,,,,missing odds,,0.0,102.67,SDP,ATL,,,,,,,,,
2025-03-27,MIN @ STL,5.0,3.0,,0.0,-104.7,0.5242,0.4885,0.0357,-115:+100,,-115:+100 excluded by static_underdog_130_170,,0.0,102.67,STL,MIN,home,True,Sonny Gray,Pablo Lopez,R,R,,,early
2025-03-27,PIT @ MIA,5.0,4.0,,0.0,128.5,0.4583,0.42,0.0383,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,102.67,MIA,PIT,home,False,Sandy Alcantara,Paul Skenes,R,R,,,early
2025-03-27,SFG @ CIN,4.0,6.0,,0.0,-111.0,0.5599,0.5033,0.0566,-115:+100,,-115:+100 excluded by static_underdog_130_170,,0.0,102.67,CIN,SFG,home,True,Hunter Greene,Logan Webb,R,R,,,early
2025-03-27,PHI @ WSN,3.0,7.0,,0.0,134.5,0.4452,0.4097,0.0354,+130:+170,0.06,edge <= 6% threshold,,0.0,102.67,WSN,PHI,home,False,MacKenzie Gore,Zack Wheeler,L,R,,,early
2025-03-27,CHC @ ARI,6.0,10.0,,0.0,112.2,0.4646,0.4522,0.0124,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,102.67,ARI,CHC,away,False,Justin Steele,Zac Gallen,L,R,,,early
2025-03-28,PIT @ MIA,3.0,4.0,,0.0,121.3,0.4711,0.434,0.0371,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,102.67,MIA,PIT,home,False,Connor Gillispie,Mitch Keller,R,R,,,early
2025-03-28,NYM @ HOU,1.0,3.0,,0.0,,,,,,,missing odds,,0.0,102.67,HOU,NYM,,,,,,,,,
2025-03-28,DET @ LAD,8.0,5.0,,0.0,181.8,0.4425,0.3407,0.1018,+170+,,+170+ excluded by static_underdog_130_170,,0.0,102.67,LAD,DET,away,False,Jack Flaherty,Yoshinobu Yamamoto,R,R,,,early
2025-03-28,BOS @ TEX,4.0,1.0,,0.0,,,,,,,missing odds,,0.0,102.67,TEX,BOS,,,,,,,,,
2025-03-28,COL @ TBR,3.0,2.0,,0.0,175.5,0.4792,0.3468,0.1324,+170+,,+170+ excluded by static_underdog_130_170,,0.0,102.67,TBR,COL,away,False,Kyle Freeland,Ryan Pepiot,L,R,,,early
2025-03-28,ATL @ SDP,4.0,3.0,,0.0,113.2,0.4668,0.4513,0.0155,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,102.67,SDP,ATL,away,False,Reynaldo Lopez,Dylan Cease,R,R,,,early
2025-03-28,CHC @ ARI,8.0,1.0,,0.0,120.3,0.491,0.4356,0.0554,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,102.67,ARI,CHC,away,False,Jameson Taillon,Merrill Kelly,R,R,,,early
2025-03-28,BAL @ TOR,8.0,2.0,,0.0,176.3,0.4976,0.3323,0.1653,+170+,,+170+ excluded by static_underdog_130_170,,0.0,102.67,TOR,BAL,away,False,Charlie Morton,Kevin Gausman,R,R,,,early
2025-03-29,CHC @ ARI,3.0,4.0,,0.0,,,,,,,missing odds,,0.0,102.67,ARI,CHC,,,,,,,,,
2025-03-29,MIL @ NYY,20.0,9.0,MIL,3.2,140.7,0.4884,0.3986,0.0898,+130:+170,0.06,static_underdog_130_170: +130:+170 edge > 6%,False,-3.2,99.47,NYY,MIL,away,False,Nestor Cortes,Max Fried,L,L,,,early
2025-03-29,LAA @ CHW,0.0,1.0,,0.0,135.7,0.4632,0.4059,0.0573,+130:+170,0.06,edge <= 6% threshold,,0.0,99.47,CHW,LAA,home,False,Jonathan Cannon,Jose Soriano,R,R,,,early
