date,matchup,home_score,away_score,bet_side,stake,odds,model_prob,vegas_prob,edge,odds_bucket,season_phase,edge_threshold,policy_reason,policy_name,won,game_pnl,bankroll,home_team,away_team,side_home_away,is_favorite,sp_name,opp_sp_name,sp_throws,opp_sp_throws,close_prob,clv_prob
2026-03-18,HOU @ STL,4.0,1.0,,0,114.3,0.4995,0.4444,0.0551,+100:+130,early,,+100:+130 excluded by manual_mid_underdog_130_170_edge_3pct,manual_mid_underdog_130_170_edge_3pct,,0,100.0,STL,HOU,home,False,,,,,,
2026-03-18,DET @ PIT,3.0,1.0,,0,-104.7,0.516,0.4883,0.0277,-115:+100,early,,-115:+100 excluded by manual_mid_underdog_130_170_edge_3pct,manual_mid_underdog_130_170_edge_3pct,,0,100.0,PIT,DET,away,True,,,,,,
2026-03-18,CHC @ ARI,16.0,8.0,,0,,,,,,,,missing odds,manual_mid_underdog_130_170_edge_3pct,,0,100.0,ARI,CHC,,,,,,,,
2026-03-18,CIN @ LAA,7.0,4.0,,0,,,,,,,,missing odds,manual_mid_underdog_130_170_edge_3pct,,0,100.0,LAA,CIN,,,,,,,,
2026-03-18,LAA @ MIL,3.0,4.0,,0,,,,,,,,missing odds,manual_mid_underdog_130_170_edge_3pct,,0,100.0,MIL,LAA,,,,,,,,
2026-03-18,PHI @ ATL,3.0,2.0,,0,136.0,0.5114,0.4035,0.1079,+130:+170,early,,+130:+170 excluded by manual_mid_underdog_130_170_edge_3pct,manual_mid_underdog_130_170_edge_3pct,,0,100.0,ATL,PHI,away,False,,,,,,
2026-03-18,BOS @ NYY,1.0,0.0,,0,130.0,0.4648,0.4135,0.0512,+130:+170,early,,+130:+170 excluded by manual_mid_underdog_130_170_edge_3pct,manual_mid_underdog_130_170_edge_3pct,,0,100.0,NYY,BOS,away,False,,,,,,
2026-03-18,KCR @ TEX,12.0,3.0,,0,123.5,0.482,0.428,0.054,+100:+130,early,,+100:+130 excluded by manual_mid_underdog_130_170_edge_3pct,manual_mid_underdog_130_170_edge_3pct,,0,100.0,TEX,KCR,away,False,,,,,,
2026-03-18,BAL @ TOR,2.0,3.0,,0,-133.2,0.5983,0.5433,0.055,-140:-115,early,,-140:-115 excluded by manual_mid_underdog_130_170_edge_3pct,manual_mid_underdog_130_170_edge_3pct,,0,100.0,TOR,BAL,home,True,,,,,,
2026-03-18,MIL @ SEA,7.0,3.0,,0,,,,,,,,missing odds,manual_mid_underdog_130_170_edge_3pct,,0,100.0,SEA,MIL,,,,,,,,
2026-03-18,COL @ CIN,6.0,8.0,,0,,,,,,,,missing odds,manual_mid_underdog_130_170_edge_3pct,,0,100.0,CIN,COL,,,,,,,,
2026-03-19,SFG @ COL,11.0,14.0,,0,128.2,0.4497,0.4194,0.0303,+100:+130,early,,+100:+130 excluded by manual_mid_underdog_130_170_edge_3pct,manual_mid_underdog_130_170_edge_3pct,,0,100.0,COL,SFG,home,False,,,,,,
2026-03-19,TEX @ MIL,11.0,4.0,,0,123.2,0.4798,0.4287,0.0511,+100:+130,early,,+100:+130 excluded by manual_mid_underdog_130_170_edge_3pct,manual_mid_underdog_130_170_edge_3pct,,0,100.0,MIL,TEX,away,False,,,,,,
2026-03-19,NYY @ TOR,11.0,0.0,,0,,,,,,,,missing odds,manual_mid_underdog_130_170_edge_3pct,,0,100.0,TOR,NYY,,,,,,,,
2026-03-19,MIN @ BOS,4.0,2.0,,0,118.0,0.4498,0.4368,0.0131,+100:+130,early,,+100:+130 excluded by manual_mid_underdog_130_170_edge_3pct,manual_mid_underdog_130_170_edge_3pct,,0,100.0,BOS,MIN,away,False,,,,,,
2026-03-19,ARI @ CHW,4.0,2.0,,0,,,,,,,,missing odds,manual_mid_underdog_130_170_edge_3pct,,0,100.0,CHW,ARI,,,,,,,,
2026-03-19,KCR @ CLE,6.0,5.0,,0,,,,,,,,missing odds,manual_mid_underdog_130_170_edge_3pct,,0,100.0,CLE,KCR,,,,,,,,
