date,home,away,side,model_p,vegas_p,edge,ml,stake,won,pnl,bankroll
2026-03-18,ARI,CHC,away,0.52,0.386,0.134,-52,2.5,0,-2.5,97.5
2026-03-18,ATL,PHI,home,0.656,0.596,0.061,-164,2.5,1,1.52,99.02
2026-03-18,STL,HOU,home,0.636,0.446,0.19,114,2.5,1,2.85,101.87
2026-03-18,TEX,KCR,away,0.501,0.421,0.08,127,2.5,0,-2.5,99.37
2026-03-18,TOR,BAL,home,0.588,0.545,0.043,-133,2.5,0,-2.5,96.87
2026-03-19,STL,WSN,home,0.618,0.509,0.11,-114,2.5,1,2.19,99.07
2026-03-19,PHI,TBR,away,0.526,0.423,0.103,126,2.5,0,-2.5,96.57
2026-03-19,COL,SFG,home,0.524,0.42,0.105,128,2.5,0,-2.5,94.07
2026-03-19,BOS,MIN,away,0.531,0.439,0.093,118,2.5,0,-2.5,91.57
2026-03-19,HOU,NYM,home,0.526,0.46,0.066,108,2.5,0,-2.5,89.07
2026-03-20,NYM,STL,home,0.577,0.54,0.037,-129,2.5,0,-2.5,86.57
2026-03-20,MIN,TOR,away,0.463,0.107,0.356,-5,2.5,1,50.0,136.57
2026-03-20,ATL,PIT,home,0.573,0.501,0.072,-144,2.5,1,1.74,138.3
2026-03-21,BOS,ATL,away,0.686,0.452,0.234,112,2.5,1,2.8,141.1
2026-03-21,ARI,TEX,home,0.52,0.476,0.044,-131,2.5,1,1.91,143.01
2026-03-21,DET,NYY,away,0.517,0.438,0.079,118,2.5,0,-2.5,140.51
2026-03-21,MIL,SDP,home,0.571,0.501,0.07,-144,2.5,1,1.74,142.25
2026-03-21,PIT,TOR,home,0.567,0.464,0.103,-127,2.5,1,1.97,144.22
2026-03-21,BAL,PHI,away,0.485,0.441,0.044,117,2.5,0,-2.5,141.72
2026-03-21,SEA,CHC,home,0.56,0.527,0.033,-158,2.5,0,-2.5,139.22
2026-03-21,TBR,MIN,home,0.552,0.459,0.093,108,2.5,1,2.7,141.92
2026-03-21,STL,MIA,away,0.516,0.451,0.065,-121,2.5,0,-2.5,139.42
2026-03-21,SFG,CLE,away,0.529,0.48,0.048,78,2.5,0,-2.5,136.92
2026-03-22,MIN,ATL,away,0.574,0.459,0.115,109,2.5,0,-2.5,134.42
2026-03-22,MIA,NYM,home,0.535,0.484,0.05,76,2.5,1,1.9,136.32
2026-03-22,LAA,LAD,home,0.499,0.375,0.124,155,2.5,0,-2.5,133.82
2026-03-22,HOU,STL,away,0.61,0.44,0.17,118,2.5,1,2.95,136.77
2026-03-22,NYY,PHI,home,0.577,0.547,0.03,-132,2.5,1,1.89,138.66
2026-03-22,PIT,BOS,home,0.636,0.509,0.127,-114,2.5,0,-2.5,136.16
2026-03-22,CHW,SEA,away,0.529,0.373,0.155,-128,2.5,1,1.95,138.11
2026-03-22,SDP,ARI,away,0.465,0.409,0.056,134,2.5,1,3.35,141.46
2026-03-22,COL,ATH,home,0.541,0.456,0.085,110,2.5,1,2.75,144.21
2026-03-22,TOR,TBR,away,0.47,0.392,0.078,144,2.5,0,-2.5,141.71
2026-03-22,BAL,WSN,away,0.442,0.404,0.037,137,2.5,0,-2.5,139.21
2026-03-23,MIL,CIN,home,0.548,0.472,0.076,-130,2.5,1,1.92,141.14
2026-03-23,BOS,MIN,away,0.531,0.412,0.119,132,2.5,1,3.3,144.44
2026-03-23,CHC,NYY,away,0.474,0.395,0.079,-54,2.5,0,-2.5,141.94
2026-03-23,SDP,SEA,away,0.565,0.477,0.088,-132,2.5,0,-2.5,139.44
2026-03-23,TEX,KCR,away,0.507,0.46,0.047,108,2.5,0,-2.5,136.94
2026-03-24,CHC,NYY,home,0.535,0.447,0.088,-120,2.5,0,-2.5,134.44
2026-03-24,MIL,CIN,away,0.434,0.387,0.047,-52,2.5,0,-2.5,131.94
2026-03-24,MIN,BOS,home,0.605,0.421,0.183,127,2.5,1,3.17,135.11
2026-03-24,TEX,KCR,away,0.501,0.442,0.059,117,2.5,0,-2.5,132.61
2026-03-26,STL,TBR,away,0.526,0.475,0.051,-130,2.5,0,-2.5,130.11
2026-03-26,PHI,TEX,away,0.525,0.414,0.111,132,2.5,0,-2.5,127.61
2026-03-26,BAL,MIN,away,0.568,0.425,0.142,126,2.5,0,-2.5,125.11
2026-03-26,NYM,PIT,home,0.541,0.463,0.078,-124,2.5,1,2.02,127.13
2026-03-26,LAD,ARI,away,0.409,0.306,0.103,213,2.5,0,-2.5,124.63
2026-03-26,MIL,CHW,away,0.425,0.366,0.059,162,2.5,0,-2.5,122.13
2026-03-26,SEA,CLE,away,0.45,0.383,0.068,151,2.5,1,3.77,125.9
2026-03-27,MIA,COL,away,0.438,0.372,0.065,158,2.5,0,-2.5,123.4
2026-03-27,TOR,ATH,away,0.437,0.378,0.059,153,2.5,0,-2.5,120.9
2026-03-27,SDP,DET,away,0.565,0.527,0.038,58,2.5,1,1.45,122.35
2026-03-27,LAD,ARI,away,0.409,0.331,0.079,190,2.5,0,-2.5,119.85
2026-03-27,SEA,CLE,away,0.45,0.392,0.058,145,2.5,0,-2.5,117.35
2026-03-27,HOU,LAA,away,0.463,0.4,0.063,140,2.5,1,3.5,120.85
2026-03-28,MIA,COL,away,0.437,0.381,0.057,152,2.5,0,-2.5,118.35
2026-03-28,STL,TBR,away,0.525,0.493,0.032,-106,2.5,0,-2.5,115.85
2026-03-28,LAD,ARI,away,0.409,0.327,0.082,192,2.5,0,-2.5,113.35
2026-03-28,SEA,CLE,away,0.45,0.381,0.069,152,2.5,1,3.8,117.15
2026-03-28,CIN,BOS,home,0.545,0.435,0.11,120,2.5,1,3.0,120.15
2026-03-28,BAL,MIN,away,0.568,0.414,0.153,132,2.5,1,3.3,123.45
2026-03-28,TOR,ATH,away,0.434,0.384,0.05,150,2.5,0,-2.5,120.95
2026-03-28,PHI,TEX,away,0.529,0.445,0.083,115,2.5,1,2.88,123.83
2026-03-28,NYM,PIT,away,0.459,0.398,0.061,142,2.5,0,-2.5,121.33
2026-03-28,ATL,KCR,home,0.612,0.559,0.053,-140,2.5,1,1.79,123.11
2026-03-28,HOU,LAA,away,0.467,0.437,0.03,120,2.5,0,-2.5,120.61
2026-03-29,STL,TBR,home,0.473,0.082,0.391,-5,2.5,0,-2.5,118.11
2026-03-29,PHI,TEX,away,0.529,0.418,0.111,130,2.5,1,3.25,121.36
2026-03-29,CIN,BOS,home,0.545,0.447,0.099,115,2.5,1,2.88,124.24
2026-03-29,BAL,MIN,away,0.568,0.413,0.155,133,2.5,0,-2.5,121.74
2026-03-29,NYM,PIT,away,0.459,0.385,0.074,149,2.5,1,3.73,125.46
2026-03-29,HOU,LAA,away,0.467,0.394,0.073,144,2.5,0,-2.5,122.96
2026-03-29,MIA,COL,away,0.437,0.382,0.055,151,2.5,0,-2.5,120.46
2026-03-29,ATL,KCR,home,0.612,0.576,0.035,-151,2.5,0,-2.5,117.96
2026-03-30,PHI,WSN,away,0.459,0.4,0.059,140,2.5,1,3.5,121.46
2026-03-30,SDP,SFG,away,0.466,0.391,0.075,-53,2.5,1,4.72,126.18
2026-03-30,MIA,CHW,home,0.588,0.491,0.097,-139,2.5,0,-2.5,123.68
2026-03-30,MIL,TBR,away,0.459,0.417,0.042,131,2.5,1,3.28,126.96
2026-03-30,TOR,COL,away,0.435,0.295,0.14,225,2.5,1,5.62,132.58
2026-03-30,HOU,BOS,away,0.549,0.475,0.074,-130,2.5,0,-2.5,130.08
2026-03-30,SEA,NYY,home,0.535,0.403,0.132,-56,2.5,1,4.46,134.54
2026-03-30,LAD,CLE,away,0.437,0.387,0.05,148,2.5,1,3.7,138.24
2026-03-30,CHC,LAA,away,0.431,0.368,0.063,161,2.5,0,-2.5,135.74
2026-03-30,KCR,MIN,away,0.489,0.41,0.079,134,2.5,0,-2.5,133.24
2026-03-30,STL,NYM,home,0.53,0.424,0.106,126,2.5,0,-2.5,130.74
2026-03-30,BAL,TEX,away,0.533,0.458,0.075,110,2.5,1,2.75,133.49
2026-03-31,LAD,CLE,away,0.44,0.298,0.142,222,2.5,0,-2.5,130.99
2026-03-31,CIN,PIT,away,0.533,0.45,0.083,-120,2.5,1,2.08,133.08
2026-03-31,SDP,SFG,home,0.53,0.445,0.085,116,2.5,0,-2.5,130.58
2026-03-31,HOU,BOS,away,0.544,0.43,0.113,123,2.5,0,-2.5,128.08
2026-03-31,TOR,COL,away,0.448,0.31,0.138,209,2.5,0,-2.5,125.58
2026-03-31,ARI,DET,away,0.55,0.495,0.055,-107,2.5,0,-2.5,123.08
2026-03-31,PHI,WSN,away,0.463,0.382,0.081,151,2.5,0,-2.5,120.58
2026-04-01,SEA,NYY,home,0.535,0.452,0.083,-120,2.5,0,-2.5,118.08
2026-04-01,LAD,CLE,away,0.425,0.29,0.135,230,2.5,1,5.75,123.83
2026-04-01,CIN,PIT,home,0.467,0.432,0.035,122,2.5,0,-2.5,121.33
2026-04-01,HOU,BOS,home,0.483,0.433,0.05,122,2.5,1,3.05,124.38
2026-04-01,TOR,COL,away,0.448,0.298,0.15,222,2.5,1,5.55,129.93
2026-04-01,ATL,ATH,away,0.427,0.338,0.09,184,2.5,0,-2.5,127.43
2026-04-01,PHI,WSN,away,0.459,0.292,0.167,229,2.5,0,-2.5,124.93
2026-04-01,SDP,SFG,away,0.47,0.418,0.052,130,2.5,0,-2.5,122.43
2026-04-01,STL,NYM,home,0.535,0.403,0.131,138,2.5,1,3.45,125.88
