date,matchup,bet_side,stake,odds,won,pnl,bankroll,notes
2026-04-28,HOU @ BAL,BAL,4.63,-136.0,True,3.4,103.4,
2026-04-28,STL @ PIT,PIT,0.73,-161.0,False,-0.73,102.67,
2026-04-28,BOS @ TOR,TOR,1.11,-115.0,True,0.97,103.64,
2026-04-28,ARI @ MIL,MIL,0.61,-136.0,True,0.45,104.09,
2026-04-28,KCR @ OAK,OAK,1.97,-102.0,False,-1.97,102.12,
2026-04-28,SFG @ PHI,SFG,5.09,135.0,False,-5.09,97.03,
2026-04-28,SEA @ MIN,MIN,2.23,104.0,False,-2.23,94.8,
2026-04-28,TBR @ CLE,TBR,2.38,104.0,True,2.48,97.28,
2026-04-28,NYY @ TEX,TEX,0.54,103.0,False,-0.54,96.74,
2026-04-29,TBR @ CLE,TBR,5.28,100.0,False,-5.28,91.46,
2026-04-29,BOS @ TOR,TOR,2.09,-131.0,True,1.6,93.06,
2026-04-29,ARI @ MIL,ARI,3.42,109.0,True,3.73,96.79,
2026-04-29,LAA @ CHW,LAA,0.66,-120.0,False,-0.66,96.13,
2026-04-29,STL @ PIT,STL,4.11,104.0,True,4.27,100.4,
2026-04-29,COL @ CIN,COL,3.73,138.0,True,5.15,105.55,
2026-04-29,WSN @ NYM,WSN,3.75,135.0,True,5.06,110.61,
2026-04-30,WSN @ NYM,NYM,0.27,-194.0,False,-0.27,110.34,
2026-04-30,ARI @ MIL,MIL,4.5,-131.0,True,3.44,113.78,
2026-04-30,HOU @ BAL,BAL,1.58,109.0,False,-1.58,112.2,
2026-04-30,SFG @ PHI,PHI,1.03,-156.0,True,0.66,112.86,
2026-04-30,KCR @ OAK,OAK,1.92,-126.0,True,1.52,114.38,
2026-04-30,HOU @ BAL,BAL,3.63,-136.0,True,2.67,117.05,
2026-04-30,DET @ ATL,DET,1.54,105.0,True,1.62,118.67,
2026-05-01,MIL @ WSN,MIL,5.55,-163.0,True,3.4,122.07,
2026-05-01,LAD @ STL,LAD,3.07,-182.0,False,-3.07,119.0,
2026-05-01,CHW @ SDP,CHW,4.25,124.0,True,5.27,124.27,
2026-05-01,NYM @ LAA,LAA,1.08,108.0,False,-1.08,123.19,
