feature,bucket,games,bets,wins,win_rate,avg_value,avg_edge,staked,pnl,roi
home_rolling_rd,low,112.0,112.0,53.0,0.4732142857142857,-0.843452380952381,0.09080892857142857,358.42999999999995,54.94999999999999,0.1533074798426471
home_rolling_rd,mid,194.0,194.0,92.0,0.4742268041237113,1.3013745704467357,0.07178762886597938,461.79,68.06000000000004,0.14738300959310519
home_rolling_rd,high,23.0,23.0,5.0,0.21739130434782608,2.2811594202898546,0.0998478260869565,87.63999999999999,-48.51,-0.5535143769968052
away_rolling_rd,low,112.0,112.0,53.0,0.4732142857142857,-0.843452380952381,0.09080892857142857,358.42999999999995,54.94999999999999,0.1533074798426471
away_rolling_rd,mid,194.0,194.0,92.0,0.4742268041237113,1.3013745704467357,0.07178762886597938,461.79,68.06000000000004,0.14738300959310519
away_rolling_rd,high,23.0,23.0,5.0,0.21739130434782608,2.2811594202898546,0.0998478260869565,87.63999999999999,-48.51,-0.5535143769968052
rs_diff,low,208.0,208.0,100.0,0.4807692307692308,-1.1400641025641027,0.07208942307692309,492.33,87.92999999999999,0.17859971970020108
rs_diff,mid,11.0,11.0,6.0,0.5454545454545454,-0.8424242424242425,0.09734545454545454,38.349999999999994,21.270000000000003,0.5546284224250327
rs_diff,high,110.0,110.0,44.0,0.4,0.5224242424242425,0.09389545454545455,377.17999999999995,-34.7,-0.09199851529773585
home_last7_rd,low,114.0,114.0,50.0,0.43859649122807015,-1.0363408521303257,0.09151140350877195,369.6,13.360000000000003,0.03614718614718615
home_last7_rd,mid,213.0,213.0,100.0,0.4694835680751174,3.35010060362173,0.07401971830985916,530.23,69.17000000000002,0.1304528223601079
home_last7_rd,high,2.0,2.0,0.0,0.0,5.357142857142858,0.09770000000000001,8.03,-8.03,-1.0
away_last7_rd,low,114.0,114.0,50.0,0.43859649122807015,-1.0363408521303257,0.09151140350877195,369.6,13.360000000000003,0.03614718614718615
away_last7_rd,mid,213.0,213.0,100.0,0.4694835680751174,3.35010060362173,0.07401971830985916,530.23,69.17000000000002,0.1304528223601079
away_last7_rd,high,2.0,2.0,0.0,0.0,5.357142857142858,0.09770000000000001,8.03,-8.03,-1.0
last7_rd_diff,low,110.0,110.0,45.0,0.4090909090909091,-2.0532467532467535,0.09011,352.01000000000005,-10.940000000000007,-0.031078662537996096
last7_rd_diff,mid,184.0,184.0,93.0,0.5054347826086957,1.763975155279503,0.07064782608695654,427.45,123.01000000000002,0.2877763481108902
last7_rd_diff,high,35.0,35.0,12.0,0.34285714285714286,3.8285714285714287,0.09950285714285714,128.4,-37.57,-0.292601246105919
home_momentum,low,110.0,110.0,42.0,0.38181818181818183,-0.6887445887445888,0.09398363636363637,374.71,-32.730000000000004,-0.08734754877104962
home_momentum,mid,216.0,216.0,108.0,0.5,2.136463844797178,0.0731912037037037,524.3199999999999,116.05999999999999,0.2213533719865731
home_momentum,high,3.0,3.0,0.0,0.0,3.3206349206349213,0.08213333333333334,8.83,-8.83,-1.0
away_momentum,low,110.0,110.0,42.0,0.38181818181818183,-0.6887445887445888,0.09398363636363637,374.71,-32.730000000000004,-0.08734754877104962
away_momentum,mid,216.0,216.0,108.0,0.5,2.136463844797178,0.0731912037037037,524.3199999999999,116.05999999999999,0.2213533719865731
away_momentum,high,3.0,3.0,0.0,0.0,3.3206349206349213,0.08213333333333334,8.83,-8.83,-1.0
momentum_diff,low,110.0,110.0,43.0,0.39090909090909093,-1.0918614718614719,0.09131454545454544,358.36000000000007,-22.44,-0.06261859582542693
momentum_diff,mid,201.0,201.0,102.0,0.5074626865671642,2.2586117033878224,0.07160348258706468,477.12,126.59,0.2653210932260228
momentum_diff,high,18.0,18.0,5.0,0.2777777777777778,3.07989417989418,0.10872222222222222,72.38,-29.649999999999995,-0.4096435479414202
streak_diff,low,125.0,125.0,48.0,0.384,-1.936,0.09198479999999999,406.89000000000004,-27.35,-0.06721718400550517
streak_diff,mid,203.0,203.0,102.0,0.5024630541871922,8.926108374384237,0.07296453201970445,498.33,104.49000000000001,0.20968033230991515
streak_diff,high,1.0,1.0,0.0,0.0,14.0,0.084,2.64,-2.64,-1.0
home_sp_era_adj,low,109.0,109.0,53.0,0.48623853211009177,3.1235624404763,0.07234770642201836,263.74,55.550000000000004,0.21062409949192387
home_sp_era_adj,mid,133.0,133.0,60.0,0.45112781954887216,3.828880125629194,0.08020751879699248,368.55999999999995,11.769999999999996,0.03193509876275233
home_sp_era_adj,high,85.0,85.0,37.0,0.43529411764705883,4.955115974367111,0.08986941176470588,268.3399999999999,14.400000000000002,0.05366326302452115
away_sp_era_adj,low,109.0,109.0,53.0,0.48623853211009177,3.1235624404763,0.07234770642201836,263.74,55.550000000000004,0.21062409949192387
away_sp_era_adj,mid,133.0,133.0,60.0,0.45112781954887216,3.828880125629194,0.08020751879699248,368.55999999999995,11.769999999999996,0.03193509876275233
away_sp_era_adj,high,85.0,85.0,37.0,0.43529411764705883,4.955115974367111,0.08986941176470588,268.3399999999999,14.400000000000002,0.05366326302452115
sp_era_adj_diff,low,171.0,171.0,74.0,0.4327485380116959,-0.9518562891457936,0.08306140350877195,493.65999999999997,-0.6599999999999939,-0.00133695255844102
sp_era_adj_diff,mid,41.0,41.0,17.0,0.4146341463414634,0.42660654940001774,0.0915219512195122,134.57999999999996,-1.5000000000000018,-0.01114578689255463
sp_era_adj_diff,high,107.0,107.0,56.0,0.5233644859813084,1.911854551301678,0.07110654205607478,251.72000000000003,84.88000000000001,0.3372000635626887
home_sp_inseason_era,low,141.0,141.0,65.0,0.46099290780141844,2.0236456790362727,0.07966737588652482,383.26,23.75,0.0619683765589939
home_sp_inseason_era,mid,106.0,106.0,47.0,0.44339622641509435,3.0079716767055973,0.07265283018867924,257.72,23.72,0.09203787055719384
home_sp_inseason_era,high,73.0,73.0,33.0,0.4520547945205479,4.464038473552866,0.08988082191780822,232.34,10.780000000000003,0.04639752087458037
away_sp_inseason_era,low,141.0,141.0,65.0,0.46099290780141844,2.0236456790362727,0.07966737588652482,383.26,23.75,0.0619683765589939
away_sp_inseason_era,mid,106.0,106.0,47.0,0.44339622641509435,3.0079716767055973,0.07265283018867924,257.72,23.72,0.09203787055719384
away_sp_inseason_era,high,73.0,73.0,33.0,0.4520547945205479,4.464038473552866,0.08988082191780822,232.34,10.780000000000003,0.04639752087458037
sp_inseason_era_diff,low,169.0,169.0,77.0,0.4556213017751479,-1.1788446753436053,0.08061538461538462,472.08,36.33,0.07695729537366548
sp_inseason_era_diff,mid,92.0,92.0,49.0,0.532608695652174,0.0325303248723978,0.06892282608695653,205.41000000000003,81.99000000000002,0.3991529136848255
sp_inseason_era_diff,high,57.0,57.0,19.0,0.3333333333333333,1.606658846773074,0.09414385964912281,190.26999999999998,-54.51,-0.286487622851737
home_bullpen_inseason_era,low,200.0,200.0,95.0,0.475,2.834192873292538,0.0716505,472.69999999999993,85.70000000000002,0.1812989210916015
home_bullpen_inseason_era,mid,19.0,19.0,6.0,0.3157894736842105,3.1313486581023047,0.09649473684210527,68.45,-21.090000000000003,-0.3081081081081081
home_bullpen_inseason_era,high,110.0,110.0,49.0,0.44545454545454544,4.3512245692836435,0.09300363636363636,366.71000000000004,9.890000000000013,0.026969539963458897
away_bullpen_inseason_era,low,200.0,200.0,95.0,0.475,2.834192873292538,0.0716505,472.69999999999993,85.70000000000002,0.1812989210916015
away_bullpen_inseason_era,mid,19.0,19.0,6.0,0.3157894736842105,3.1313486581023047,0.09649473684210527,68.45,-21.090000000000003,-0.3081081081081081
away_bullpen_inseason_era,high,110.0,110.0,49.0,0.44545454545454544,4.3512245692836435,0.09300363636363636,366.71000000000004,9.890000000000013,0.026969539963458897
bullpen_inseason_era_diff,low,109.0,109.0,45.0,0.41284403669724773,-0.8003825233188537,0.09311743119266054,365.31000000000006,-16.72,-0.0457693465823547
bullpen_inseason_era_diff,mid,167.0,167.0,84.0,0.5029940119760479,0.7217232866383663,0.06650299401197605,355.34,102.50999999999998,0.2884842685878313
bullpen_inseason_era_diff,high,50.0,50.0,21.0,0.42,1.7716780427728187,0.09541199999999998,172.97000000000003,2.9500000000000006,0.01705498063247962
home_bullpen_outs_3d,low,210.0,210.0,106.0,0.5047619047619047,21.042857142857144,0.07441666666666669,521.9,153.85,0.2947882736156352
home_bullpen_outs_3d,mid,10.0,10.0,4.0,0.4,23.8,0.08394,29.810000000000002,-1.240000000000001,-0.04159677960415971
home_bullpen_outs_3d,high,106.0,106.0,37.0,0.3490566037735849,33.424528301886795,0.09192452830188678,350.50000000000006,-86.3,-0.24621968616262477
away_bullpen_outs_3d,low,210.0,210.0,106.0,0.5047619047619047,21.042857142857144,0.07441666666666669,521.9,153.85,0.2947882736156352
away_bullpen_outs_3d,mid,10.0,10.0,4.0,0.4,23.8,0.08394,29.810000000000002,-1.240000000000001,-0.04159677960415971
away_bullpen_outs_3d,high,106.0,106.0,37.0,0.3490566037735849,33.424528301886795,0.09192452830188678,350.50000000000006,-86.3,-0.24621968616262477
bullpen_usage_diff,low,202.0,202.0,102.0,0.504950495049505,-8.430693069306932,0.07056584158415843,469.19,113.82999999999998,0.24260960378524687
bullpen_usage_diff,mid,20.0,20.0,9.0,0.45,-3.85,0.094815,66.85,10.330000000000002,0.15452505609573677
bullpen_usage_diff,high,101.0,101.0,36.0,0.3564356435643564,6.207920792079208,0.09596831683168319,351.93,-43.60999999999999,-0.12391668797772282
ops_diff,low,210.0,210.0,105.0,0.5,-0.05695552922456104,0.06876952380952381,468.87,123.2,0.26275940026020006
ops_diff,mid,9.0,9.0,2.0,0.2222222222222222,-0.04351818683291332,0.07874444444444445,23.330000000000002,-11.07,-0.4744963566223746
ops_diff,high,110.0,110.0,43.0,0.39090909090909093,0.016577937033787068,0.10221454545454546,415.6600000000001,-37.62999999999999,-0.0905307222248953
home_batting_ops_vs_sp,low,114.0,114.0,59.0,0.5175438596491229,0.6699927182071723,0.0719640350877193,269.04,80.05,0.29753939934582213
home_batting_ops_vs_sp,mid,152.0,152.0,64.0,0.42105263157894735,0.7071282478488274,0.07703223684210526,399.72999999999996,-10.079999999999998,-0.025217021489505415
home_batting_ops_vs_sp,high,63.0,63.0,27.0,0.42857142857142855,0.745984126984127,0.10287460317460319,239.08999999999997,4.5300000000000065,0.01894684010205365
away_batting_ops_vs_sp,low,114.0,114.0,59.0,0.5175438596491229,0.6699927182071723,0.0719640350877193,269.04,80.05,0.29753939934582213
away_batting_ops_vs_sp,mid,152.0,152.0,64.0,0.42105263157894735,0.7071282478488274,0.07703223684210526,399.72999999999996,-10.079999999999998,-0.025217021489505415
away_batting_ops_vs_sp,high,63.0,63.0,27.0,0.42857142857142855,0.745984126984127,0.10287460317460319,239.08999999999997,4.5300000000000065,0.01894684010205365
batting_ops_vs_sp_diff,low,118.0,118.0,58.0,0.4915254237288136,-0.06676958993951931,0.07008983050847459,268.5199999999999,62.199999999999996,0.2316401012959929
batting_ops_vs_sp_diff,mid,120.0,120.0,59.0,0.49166666666666664,-0.02652237794599044,0.07294666666666669,291.16,56.540000000000006,0.1941887621926089
batting_ops_vs_sp_diff,high,91.0,91.0,33.0,0.3626373626373626,0.028785114311557808,0.10296373626373628,348.18,-44.239999999999995,-0.1270607157217531
home_platoon_advantage,low,110.0,110.0,57.0,0.5181818181818182,-0.030413485780293934,0.07476727272727274,275.7,74.38,0.2697859992745738
home_platoon_advantage,mid,158.0,158.0,69.0,0.43670886075949367,0.00078649959047791,0.07989620253164557,430.59,8.849999999999994,0.020553194454121078
home_platoon_advantage,high,61.0,61.0,24.0,0.39344262295081966,0.017443357173491318,0.09091639344262296,201.56999999999996,-8.73,-0.043310016371483864
away_platoon_advantage,low,110.0,110.0,57.0,0.5181818181818182,-0.030413485780293934,0.07476727272727274,275.7,74.38,0.2697859992745738
away_platoon_advantage,mid,158.0,158.0,69.0,0.43670886075949367,0.00078649959047791,0.07989620253164557,430.59,8.849999999999994,0.020553194454121078
away_platoon_advantage,high,61.0,61.0,24.0,0.39344262295081966,0.017443357173491318,0.09091639344262296,201.56999999999996,-8.73,-0.043310016371483864
platoon_advantage_diff,low,133.0,133.0,63.0,0.47368421052631576,-0.01695099700977064,0.07664285714285715,342.13,48.53999999999999,0.14187589512758306
platoon_advantage_diff,mid,86.0,86.0,36.0,0.4186046511627907,0.008994616516205738,0.09781976744186047,308.57999999999987,-10.569999999999999,-0.034253678138570234
platoon_advantage_diff,high,110.0,110.0,51.0,0.4636363636363636,0.03243314329829894,0.07079909090909094,257.15000000000003,36.53,0.1420571650787478
home_lineup_ops_vs_sp,low,138.0,138.0,67.0,0.4855072463768116,0.6980744601385941,0.07491159420289856,342.65999999999997,66.4,0.19377808906788074
home_lineup_ops_vs_sp,mid,83.0,83.0,40.0,0.4819277108433735,0.714120515688677,0.06671927710843374,178.12,37.56000000000001,0.2108690770267236
home_lineup_ops_vs_sp,high,106.0,106.0,43.0,0.4056603773584906,0.7479797264264523,0.09796037735849056,383.2,-25.579999999999988,-0.06675365344467638
away_lineup_ops_vs_sp,low,138.0,138.0,67.0,0.4855072463768116,0.6980744601385941,0.07491159420289856,342.65999999999997,66.4,0.19377808906788074
away_lineup_ops_vs_sp,mid,83.0,83.0,40.0,0.4819277108433735,0.714120515688677,0.06671927710843374,178.12,37.56000000000001,0.2108690770267236
away_lineup_ops_vs_sp,high,106.0,106.0,43.0,0.4056603773584906,0.7479797264264523,0.09796037735849056,383.2,-25.579999999999988,-0.06675365344467638
lineup_ops_vs_sp_diff,low,138.0,138.0,67.0,0.4855072463768116,-0.05242663276628046,0.07298913043478263,332.13,61.17999999999999,0.18420497997771954
lineup_ops_vs_sp_diff,mid,86.0,86.0,42.0,0.4883720930232558,-0.028900863068462842,0.06723953488372095,185.72,42.09,0.22663148826189966
lineup_ops_vs_sp_diff,high,93.0,93.0,35.0,0.3763440860215054,0.010258386943029038,0.10116989247311829,350.63,-40.649999999999984,-0.11593417562672899
prior_win_pct_diff,low,202.0,202.0,102.0,0.504950495049505,-0.12237673731479681,0.06870693069306931,448.62,133.1,0.2966876198118675
prior_win_pct_diff,mid,17.0,17.0,7.0,0.4117647058823529,-0.10051323950899828,0.08277647058823531,47.16,-2.98,-0.06318914334181511
prior_win_pct_diff,high,110.0,110.0,41.0,0.37272727272727274,0.010915025414075116,0.10098090909090908,412.08,-55.62000000000001,-0.13497379149679678
home_season_win_pct,low,105.0,105.0,44.0,0.41904761904761906,0.4401332308181678,0.09591714285714285,365.11,1.470000000000003,0.004026183889786648
