feature,best_bucket,best_roi,best_bets,worst_bucket,worst_roi,worst_bets,roi_spread,high_minus_low_roi
ops_diff,low,0.26275940026020006,210,mid,-0.4744963566223746,9,0.7372557568825746,-0.3532901224850954
home_rolling_rd,low,0.1533074798426471,112,high,-0.5535143769968052,23,0.7068218568394522,-0.7068218568394522
away_rolling_rd,low,0.1533074798426471,112,high,-0.5535143769968052,23,0.7068218568394522,-0.7068218568394522
sp_inseason_era_diff,mid,0.3991529136848255,92,high,-0.286487622851737,57,0.6856405365365625,-0.3634449182254025
momentum_diff,mid,0.2653210932260228,201,high,-0.4096435479414202,18,0.674964641167443,-0.34702495211599327
rs_diff,mid,0.5546284224250327,11,high,-0.09199851529773585,110,0.6466269377227686,-0.27059823499793695
last7_rd_diff,mid,0.2877763481108902,184,high,-0.292601246105919,35,0.5803775942168092,-0.2615225835679229
home_season_win_pct,mid,0.2954069861029135,171,high,-0.2661146792540433,39,0.5615216653569568,-0.27014086314382996
away_season_win_pct,mid,0.2954069861029135,171,high,-0.2661146792540433,39,0.5615216653569568,-0.27014086314382996
il_war_diff,low,0.3191437949296229,209,mid,-0.22990936555891234,10,0.5490531604885353,-0.5211271348740893
home_bullpen_outs_3d,low,0.2947882736156352,210,high,-0.24621968616262477,106,0.54100795977826,-0.54100795977826
away_bullpen_outs_3d,low,0.2947882736156352,210,high,-0.24621968616262477,106,0.54100795977826,-0.54100795977826
home_sp_pa,high,0.5730427764326068,11,mid,0.06655885607285728,98,0.5064839203597495,0.48076041197511055
away_sp_pa,high,0.5730427764326068,11,mid,0.06655885607285728,98,0.5064839203597495,0.48076041197511055
home_bullpen_inseason_era,low,0.1812989210916015,200,mid,-0.3081081081081081,19,0.48940702919970963,-0.1543293811281426
away_bullpen_inseason_era,low,0.1812989210916015,200,mid,-0.3081081081081081,19,0.48940702919970963,-0.1543293811281426
home_il_count,low,0.2760678637512706,174,high,-0.1658236898551492,109,0.44189155360641985,-0.44189155360641985
away_il_count,low,0.2760678637512706,174,high,-0.1658236898551492,109,0.44189155360641985,-0.44189155360641985
prior_win_pct_diff,low,0.2966876198118675,202,high,-0.13497379149679678,110,0.43166141130866426,-0.43166141130866426
hard_hit_pct_diff,low,0.28318690576483335,217,high,-0.14817024661893397,110,0.4313571523837673,-0.4313571523837673
humidity_pct,mid,0.26800513598692666,215,low,-0.16110863699473454,111,0.4291137729816612,
il_diff,low,0.2893055555555556,190,high,-0.12717198343106137,109,0.416477538986617,-0.416477538986617
