Date,year,home_team,away_team,home_win,home_runs,away_runs
2026-03-18,2026,ARI,CHC,1,16,8
2026-03-18,2026,ATL,PHI,1,3,2
2026-03-18,2026,CIN,COL,0,6,8
2026-03-18,2026,LAA,CIN,1,7,4
2026-03-18,2026,MIL,LAA,0,3,4
2026-03-18,2026,NYY,BOS,1,1,0
2026-03-18,2026,PIT,DET,1,3,1
2026-03-18,2026,SEA,MIL,1,7,3
2026-03-18,2026,STL,HOU,1,4,1
2026-03-18,2026,TEX,KCR,1,12,3
2026-03-18,2026,TOR,BAL,0,2,3
2026-03-19,2026,BAL,PIT,1,5,2
2026-03-19,2026,BOS,MIN,1,4,2
2026-03-19,2026,CHW,ARI,1,4,2
2026-03-19,2026,CLE,KCR,1,6,5
2026-03-19,2026,COL,SFG,0,11,14
2026-03-19,2026,HOU,NYM,0,2,6
2026-03-19,2026,KCR,LAA,0,3,4
2026-03-19,2026,MIL,TEX,1,11,4
2026-03-19,2026,NYY,BAL,1,5,4
2026-03-19,2026,OAK,SEA,0,4,6
2026-03-19,2026,PHI,TBR,1,8,2
2026-03-19,2026,SDP,CHW,1,13,6
2026-03-19,2026,STL,WSN,1,5,1
2026-03-19,2026,TOR,NYY,1,11,0
2026-03-20,2026,ARI,MIL,1,8,7
2026-03-20,2026,ATL,PIT,1,8,1
2026-03-20,2026,CHC,CIN,0,6,8
2026-03-20,2026,CLE,SEA,0,8,20
2026-03-20,2026,HOU,MIA,0,4,7
2026-03-20,2026,LAA,CHW,1,4,3
2026-03-20,2026,LAD,SDP,1,4,3
2026-03-20,2026,MIA,WSN,1,3,2
2026-03-20,2026,MIN,TOR,0,1,2
2026-03-20,2026,NYM,STL,0,3,4
2026-03-20,2026,NYY,BAL,1,3,1
2026-03-20,2026,OAK,CHC,1,6,2
2026-03-20,2026,PHI,DET,0,4,4
2026-03-20,2026,SDP,COL,0,3,9
2026-03-20,2026,SFG,KCR,1,5,2
2026-03-20,2026,TBR,BOS,1,2,0
2026-03-20,2026,TEX,SFG,1,6,5
2026-03-21,2026,ARI,TEX,1,5,2
2026-03-21,2026,BAL,PHI,1,10,8
2026-03-21,2026,BOS,ATL,0,1,6
