Date,home_team,away_team,game_number,year,home_sp_id,home_sp_name,away_sp_id,away_sp_name,game_pk,game_id
2026-03-18,ARI,CHC,1,2026,mlb_518876,Merrill Kelly,mlb_665795,Edward Cabrera,,20260318_ARI_CHC_1
2026-03-18,ATL,PHI,1,2026,mlb_527048,Martín Pérez,mlb_691725,Andrew Painter,,20260318_ATL_PHI_1
2026-03-18,CIN,COL,1,2026,mlb_663903,Brady Singer,mlb_500779,Jose Quintana,,20260318_CIN_COL_1
2026-03-18,LAA,CIN,1,2026,mlb_686799,Jack Kochanowicz,mlb_695505,Chase Burns,,20260318_LAA_CIN_1
2026-03-18,MIL,LAA,1,2026,mlb_690986,Kyle Harrison,mlb_696270,Ryan Johnson,,20260318_MIL_LAA_1
2026-03-18,NYY,BOS,1,2026,mlb_543037,Gerrit Cole,mlb_813349,Connelly Early,,20260318_NYY_BOS_1
2026-03-18,PIT,DET,1,2026,mlb_677952,Braxton Ashcraft,mlb_663554,Casey Mize,,20260318_PIT_DET_1
2026-03-18,SEA,MIL,1,2026,mlb_676106,Emerson Hancock,mlb_692230,Carlos Rodriguez,,20260318_SEA_MIL_1
2026-03-18,STL,HOU,1,2026,mlb_681517,Kyle Leahy,mlb_641585,J.P. France,,20260318_STL_HOU_1
2026-03-18,TEX,KCR,1,2026,mlb_677958,Kumar Rocker,mlb_608379,Michael Wacha,,20260318_TEX_KCR_1
2026-03-18,TOR,BAL,1,2026,mlb_676596,Josh Fleming,mlb_544150,Albert Suárez,,20260318_TOR_BAL_1
2026-03-19,ATH,SEA,1,2026,mlb_650644,Aaron Civale,mlb_677976,Randy Dobnak,,20260319_ATH_SEA_1
2026-03-19,BAL,PIT,1,2026,mlb_669432,Trevor Rogers,mlb_676742,Cam Sanders,,20260319_BAL_PIT_1
2026-03-19,BOS,MIN,1,2026,mlb_678394,Brayan Bello,mlb_690953,Mick Abel,,20260319_BOS_MIN_1
2026-03-19,CHW,ARI,1,2026,mlb_663436,Davis Martin,mlb_647336,Michael Soroka,,20260319_CHW_ARI_1
2026-03-19,CLE,KCR,1,2026,mlb_800048,Parker Messick,mlb_702070,Noah Cameron,,20260319_CLE_KCR_1
2026-03-19,COL,SFG,1,2026,mlb_608372,Tomoyuki Sugano,mlb_657277,Logan Webb,,20260319_COL_SFG_1
2026-03-19,HOU,NYM,1,2026,mlb_663567,Peter Lambert,mlb_673540,Kodai Senga,,20260319_HOU_NYM_1
2026-03-19,KCR,LAA,1,2026,mlb_663460,Kris Bubic,mlb_579328,Yusei Kikuchi,,20260319_KCR_LAA_1
2026-03-19,MIL,TEX,1,2026,mlb_605540,Brandon Woodruff,mlb_656641,Jacob Latz,,20260319_MIL_TEX_1
2026-03-19,NYY,BAL,1,2026,mlb_608331,Max Fried,mlb_665152,Dean Kremer,,20260319_NYY_BAL_1
2026-03-19,PHI,TBR,1,2026,mlb_641835,Tim Mayza,mlb_656876,Drew Rasmussen,,20260319_PHI_TBR_1
2026-03-19,SDP,CHW,1,2026,mlb_650633,Michael King,mlb_676249,Adisyn Coffey,,20260319_SDP_CHW_1
2026-03-19,STL,WSN,1,2026,mlb_687273,Quinn Mathews,mlb_641793,Zack Littell,,20260319_STL_WSN_1
2026-03-19,TOR,NYY,1,2026,mlb_664074,Cody Ponce,mlb_677960,Ryan Weathers,,20260319_TOR_NYY_1
2026-03-20,ARI,MIL,1,2026,mlb_668678,Zac Gallen,mlb_694819,Jacob Misiorowski,,20260320_ARI_MIL_1
2026-03-20,ATH,CHC,1,2026,mlb_622663,Luis Severino,mlb_592791,Jameson Taillon,,20260320_ATH_CHC_1
2026-03-20,ATL,PIT,1,2026,mlb_660761,José Suarez,mlb_670990,Yohan Ramírez,,20260320_ATL_PIT_1
2026-03-20,CHC,CIN,1,2026,mlb_571510,Matthew Boyd,mlb_682227,Brandon Williamson,,20260320_CHC_CIN_1
2026-03-20,CLE,SEA,1,2026,mlb_671106,Logan Allen,mlb_682077,Gabe Mosser,,20260320_CLE_SEA_1
2026-03-20,HOU,MIA,1,2026,mlb_686613,Hunter Brown,mlb_691587,Eury Pérez,,20260320_HOU_MIA_1
2026-03-20,LAA,CHW,1,2026,mlb_667755,José Soriano,mlb_681343,Shane Smith,,20260320_LAA_CHW_1
2026-03-20,LAD,SDP,1,2026,mlb_808967,Yoshinobu Yamamoto,mlb_594835,Marco Gonzales,,20260320_LAD_SDP_1
2026-03-20,MIA,WSN,1,2026,mlb_663978,Chris Paddack,mlb_656492,Foster Griffin,,20260320_MIA_WSN_1
2026-03-20,MIN,TOR,1,2026,mlb_680573,Simeon Woods Richardson,mlb_453286,Max Scherzer,,20260320_MIN_TOR_1
2026-03-20,NYM,STL,1,2026,mlb_668964,Tobias Myers,mlb_669461,Matthew Liberatore,,20260320_NYM_STL_1
2026-03-20,NYY,BAL,1,2026,mlb_661563,Luis Gil,mlb_621107,Zach Eflin,,20260320_NYY_BAL_1
2026-03-20,PHI,DET,1,2026,mlb_650911,Cristopher Sánchez,mlb_669373,Tarik Skubal,,20260320_PHI_DET_1
2026-03-20,SDP,COL,1,2026,mlb_601713,Nick Pivetta,mlb_675848,Juan Mejia,,20260320_SDP_COL_1
2026-03-20,SFG,KCR,1,2026,mlb_605288,Adrian Houser,mlb_686701,Ryan Bergert,,20260320_SFG_KCR_1
2026-03-20,TBR,BOS,1,2026,mlb_663556,Shane McClanahan,mlb_687762,Blake Wehunt,,20260320_TBR_BOS_1
2026-03-20,TEX,SFG,1,2026,mlb_543135,Nathan Eovaldi,mlb_702352,Spencer Bivens,,20260320_TEX_SFG_1
2026-03-21,ARI,TEX,1,2026,mlb_669194,Ryne Nelson,mlb_596295,Austin Gomber,,20260321_ARI_TEX_1
2026-03-21,BAL,PHI,1,2026,mlb_694370,Levi Wells,mlb_680743,Ryan Cusick,,20260321_BAL_PHI_1
2026-03-21,BOS,ATL,1,2026,mlb_676979,Garrett Crochet,mlb_519242,Chris Sale,,20260321_BOS_ATL_1
2026-03-21,CIN,CHW,1,2026,mlb_671096,Andrew Abbott,mlb_699151,Jedixson Paez,,20260321_CIN_CHW_1
2026-03-21,DET,NYY,1,2026,mlb_664285,Framber Valdez,mlb_693645,Cam Schlittler,,20260321_DET_NYY_1
2026-03-21,KCR,COL,1,2026,mlb_666142,Cole Ragans,mlb_607536,Kyle Freeland,,20260321_KCR_COL_1
2026-03-21,LAD,ATH,1,2026,mlb_686218,Emmet Sheehan,mlb_682052,Jacob Lopez,,20260321_LAD_ATH_1
2026-03-21,MIL,SDP,1,2026,mlb_688107,Robert Gasser,mlb_681190,Randy Vásquez,,20260321_MIL_SDP_1
2026-03-21,NYM,HOU,1,2026,mlb_804636,Jonah Tong,mlb_681347,Mike Burrows,,20260321_NYM_HOU_1
2026-03-21,PIT,TOR,1,2026,mlb_694973,Paul Skenes,mlb_592332,Kevin Gausman,,20260321_PIT_TOR_1
2026-03-21,SEA,CHC,1,2026,mlb_669923,George Kirby,mlb_607067,Colin Rea,,20260321_SEA_CHC_1
2026-03-21,SFG,CLE,1,2026,mlb_592662,Robbie Ray,mlb_676440,Tanner Bibee,,20260321_SFG_CLE_1
2026-03-21,STL,MIA,1,2026,mlb_695766,Mason Molina,mlb_676083,Janson Junk,,20260321_STL_MIA_1
