date,team,il_count
2015-04-01,ARI,4
2015-05-01,ARI,19
2015-06-01,ARI,26
2015-07-01,ARI,21
2015-08-01,ARI,19
2015-09-01,ARI,11
2015-10-01,ARI,4
2016-04-01,ARI,2
2016-05-01,ARI,13
2016-06-01,ARI,14
2016-07-01,ARI,28
2016-08-01,ARI,26
2016-09-01,ARI,29
2016-10-01,ARI,16
2017-04-01,ARI,4
2017-05-01,ARI,16
2017-06-01,ARI,20
2017-07-01,ARI,27
2017-08-01,ARI,34
2017-09-01,ARI,37
2017-10-01,ARI,20
2018-04-01,ARI,4
2018-05-01,ARI,25
2018-06-01,ARI,32
2018-07-01,ARI,30
2018-08-01,ARI,32
2018-09-01,ARI,26
2018-10-01,ARI,7
2019-04-01,ARI,14
2019-05-01,ARI,21
2019-06-01,ARI,25
2019-07-01,ARI,33
2019-08-01,ARI,34
2019-09-01,ARI,32
2019-10-01,ARI,3
2020-04-01,ARI,0
2020-05-01,ARI,0
2020-06-01,ARI,0
2020-07-01,ARI,1
2020-08-01,ARI,2
2020-09-01,ARI,6
2020-10-01,ARI,3
2021-04-01,ARI,4
2021-05-01,ARI,7
2021-06-01,ARI,30
2021-07-01,ARI,41
2021-08-01,ARI,46
2021-09-01,ARI,41
2021-10-01,ARI,35
2022-04-01,ARI,1
2022-05-01,ARI,27
2022-06-01,ARI,33
2022-07-01,ARI,39
2022-08-01,ARI,28
2022-09-01,ARI,35
2022-10-01,ARI,38
2023-04-01,ARI,19
2023-05-01,ARI,36
2023-06-01,ARI,30
2023-07-01,ARI,27
2023-08-01,ARI,34
2023-09-01,ARI,29
2023-10-01,ARI,22
2024-04-01,ARI,19
2024-05-01,ARI,36
2024-06-01,ARI,37
2024-07-01,ARI,42
2024-08-01,ARI,39
2024-09-01,ARI,38
2024-10-01,ARI,33
2025-04-01,ARI,18
2025-05-01,ARI,27
2025-06-01,ARI,32
2025-07-01,ARI,38
2025-08-01,ARI,39
2025-09-01,ARI,42
2025-10-01,ARI,27
2026-04-01,ARI,24
2015-04-01,ATL,3
2015-05-01,ATL,17
2015-06-01,ATL,21
2015-07-01,ATL,21
2015-08-01,ATL,23
2015-09-01,ATL,24
2015-10-01,ATL,5
2016-04-01,ATL,2
2016-05-01,ATL,20
2016-06-01,ATL,21
2016-07-01,ATL,30
2016-08-01,ATL,36
2016-09-01,ATL,31
2016-10-01,ATL,22
2017-04-01,ATL,6
2017-05-01,ATL,20
2017-06-01,ATL,23
2017-07-01,ATL,23
2017-08-01,ATL,19
2017-09-01,ATL,24
2017-10-01,ATL,4
2018-04-01,ATL,7
2018-05-01,ATL,22
2018-06-01,ATL,17
2018-07-01,ATL,26
2018-08-01,ATL,27
2018-09-01,ATL,22
2018-10-01,ATL,10
