date,team,il_war_score
2015-04-01,ARI,-0.69
2015-05-01,ARI,-0.03
2015-06-01,ARI,0.29
2015-07-01,ARI,3.91
2015-08-01,ARI,0.56
2015-09-01,ARI,0.4
2015-10-01,ARI,1.18
2016-04-01,ARI,0.72
2016-05-01,ARI,7.47
2016-06-01,ARI,13.71
2016-07-01,ARI,19.4
2016-08-01,ARI,18.8
2016-09-01,ARI,5.55
2016-10-01,ARI,4.59
2017-04-01,ARI,0.91
2017-05-01,ARI,0.41
2017-06-01,ARI,-0.04
2017-07-01,ARI,-2.15
2017-08-01,ARI,0.41
2017-09-01,ARI,1.05
2017-10-01,ARI,0.64
2018-04-01,ARI,4.81
2018-05-01,ARI,15.18
2018-06-01,ARI,15.92
2018-07-01,ARI,13.05
2018-08-01,ARI,8.63
2018-09-01,ARI,8.25
2018-10-01,ARI,7.56
2019-04-01,ARI,1.51
2019-05-01,ARI,0.47
2019-06-01,ARI,3.95
2019-07-01,ARI,0.06
2019-08-01,ARI,-1.78
2019-09-01,ARI,4.05
2019-10-01,ARI,3.35
2020-04-01,ARI,0.0
2020-05-01,ARI,0.0
2020-06-01,ARI,0.0
2020-07-01,ARI,0.37
2020-08-01,ARI,0.15
2020-09-01,ARI,3.93
2020-10-01,ARI,0.37
2021-04-01,ARI,5.93
2021-05-01,ARI,5.45
2021-06-01,ARI,3.9
2021-07-01,ARI,2.72
2021-08-01,ARI,0.14
2021-09-01,ARI,2.22
2021-10-01,ARI,1.15
2022-04-01,ARI,-0.86
2022-05-01,ARI,2.25
2022-06-01,ARI,2.55
2022-07-01,ARI,-1.57
2022-08-01,ARI,2.3
2022-09-01,ARI,1.58
2022-10-01,ARI,4.78
2023-04-01,ARI,1.11
2023-05-01,ARI,-0.32
2023-06-01,ARI,-0.16
2023-07-01,ARI,1.92
2023-08-01,ARI,1.94
2023-09-01,ARI,-0.24
2023-10-01,ARI,-0.24
2024-04-01,ARI,7.53
2024-05-01,ARI,12.9
2024-06-01,ARI,16.11
2024-07-01,ARI,17.63
2024-08-01,ARI,12.08
2024-09-01,ARI,14.09
2024-10-01,ARI,1.2
2025-04-01,ARI,0.81
2025-05-01,ARI,9.84
2025-06-01,ARI,-0.06
2025-07-01,ARI,12.15
2025-08-01,ARI,9.69
2025-09-01,ARI,7.57
2025-10-01,ARI,7.47
2026-04-01,ARI,6.71
2026-05-01,ARI,5.77
2015-04-01,ATL,0.65
2015-05-01,ATL,0.84
2015-06-01,ATL,2.3
2015-07-01,ATL,5.24
2015-08-01,ATL,1.29
2015-09-01,ATL,0.56
2015-10-01,ATL,0.69
2016-04-01,ATL,-0.02
2016-05-01,ATL,5.68
2016-06-01,ATL,0.8
2016-07-01,ATL,-0.33
2016-08-01,ATL,3.68
2016-09-01,ATL,-0.48
2016-10-01,ATL,0.8
2017-04-01,ATL,2.65
2017-05-01,ATL,3.06
2017-06-01,ATL,7.69
2017-07-01,ATL,7.69
2017-08-01,ATL,0.51
2017-09-01,ATL,-1.22
2017-10-01,ATL,-1.58
2018-04-01,ATL,3.26
2018-05-01,ATL,7.33
2018-06-01,ATL,7.84
2018-07-01,ATL,10.24
2018-08-01,ATL,13.99
2018-09-01,ATL,12.43
2018-10-01,ATL,10.87
2019-04-01,ATL,7.96
2019-05-01,ATL,2.91
2019-06-01,ATL,3.46
2019-07-01,ATL,6.03
2019-08-01,ATL,5.07
2019-09-01,ATL,5.97
2019-10-01,ATL,1.5
2020-04-01,ATL,0.0
2020-05-01,ATL,0.0
2020-06-01,ATL,0.0
2020-07-01,ATL,0.22
2020-08-01,ATL,7.81
2020-09-01,ATL,14.3
2020-10-01,ATL,8.77
2021-04-01,ATL,-0.57
2021-05-01,ATL,3.08
2021-06-01,ATL,2.99
2021-07-01,ATL,3.49
2021-08-01,ATL,9.16
2021-09-01,ATL,6.28
2021-10-01,ATL,3.47
2022-04-01,ATL,0.15
2022-05-01,ATL,3.46
2022-06-01,ATL,6.78
2022-07-01,ATL,13.05
2022-08-01,ATL,10.63
2022-09-01,ATL,10.54
2022-10-01,ATL,11.83
2023-04-01,ATL,4.69
2023-05-01,ATL,2.5
2023-06-01,ATL,10.02
2023-07-01,ATL,10.48
2023-08-01,ATL,12.1
2023-09-01,ATL,5.22
2023-10-01,ATL,11.57
2024-04-01,ATL,4.5
2024-05-01,ATL,7.83
2024-06-01,ATL,12.72
2024-07-01,ATL,16.12
2024-08-01,ATL,22.43
2024-09-01,ATL,23.41
2024-10-01,ATL,12.41
2025-04-01,ATL,6.93
2025-05-01,ATL,5.68
2025-06-01,ATL,7.04
2025-07-01,ATL,15.87
2025-08-01,ATL,16.61
2025-09-01,ATL,13.83
2025-10-01,ATL,17.43
2026-04-01,ATL,9.43
2026-05-01,ATL,10.71
2015-04-01,BAL,5.66
2015-05-01,BAL,6.73
2015-06-01,BAL,6.06
2015-07-01,BAL,1.91
2015-08-01,BAL,5.82
2015-09-01,BAL,5.1
2015-10-01,BAL,0.0
2016-04-01,BAL,2.27
2016-05-01,BAL,4.6
2016-06-01,BAL,6.24
2016-07-01,BAL,2.53
2016-08-01,BAL,-0.12
2016-09-01,BAL,3.29
2016-10-01,BAL,-0.04
2017-04-01,BAL,3.53
2017-05-01,BAL,9.87
2017-06-01,BAL,6.78
2017-07-01,BAL,9.88
2017-08-01,BAL,5.26
2017-09-01,BAL,2.79
2017-10-01,BAL,0.0
2018-04-01,BAL,1.01
2018-05-01,BAL,11.12
2018-06-01,BAL,3.86
2018-07-01,BAL,3.19
2018-08-01,BAL,2.08
2018-09-01,BAL,1.36
2018-10-01,BAL,0.9
2019-04-01,BAL,1.74
2019-05-01,BAL,3.87
2019-06-01,BAL,-0.92
2019-07-01,BAL,2.4
