Date,year,home_team,away_team,game_pk,home_lineup_ops_vs_sp,away_lineup_ops_vs_sp,home_opp_sp_is_lhp,away_opp_sp_is_lhp
2015-04-11,2015,SDP,SFG,413721.0,0.6969430894308943,,1.0,
2015-04-13,2015,BAL,NYY,413749.0,,0.6996752175904719,,1.0
2015-04-13,2015,LAD,SEA,413752.0,,0.7515792951541851,,0.0
2015-04-13,2015,SDP,ARI,413742.0,0.7166010733452595,,0.0,
2015-04-14,2015,BOS,WSN,413767.0,,0.7382559339525283,,0.0
2015-04-14,2015,TOR,TBR,413766.0,0.816485626508668,,0.0,
2015-04-14,2015,CHC,CIN,413758.0,,0.7259325867861142,,0.0
2015-04-15,2015,TEX,LAA,413768.0,0.7292255225522553,,1.0,
2015-04-16,2015,STL,MIL,413786.0,,0.768119087484303,,0.0
2015-04-17,2015,STL,CIN,413794.0,0.7563933771723814,,0.0,
2015-04-17,2015,CHC,SDP,413802.0,,0.7025232425005724,,0.0
2015-04-19,2015,TBR,NYY,413829.0,,0.7187553095345686,,0.0
2015-04-19,2015,CHC,SDP,413832.0,,0.7067468852459017,,1.0
2015-04-19,2015,SEA,TEX,413833.0,0.7479852996607614,,1.0,
2015-04-19,2015,TOR,ATL,413821.0,0.8040127317400044,,0.0,
2015-04-19,2015,WSN,PHI,413831.0,0.743932625863771,,0.0,
2015-04-20,2015,MIL,CIN,413836.0,,0.7316929115128449,,0.0
2015-04-21,2015,MIL,CIN,413847.0,0.744351343283582,,0.0,
2015-04-22,2015,COL,SDP,413870.0,,0.7166010733452595,,0.0
2015-04-23,2015,WSN,STL,413884.0,,0.7570478155339806,,0.0
2015-04-24,2015,CHW,KCR,413890.0,,0.7350239646836242,,0.0
2015-04-24,2015,SDP,LAD,413891.0,0.7152833092833093,,0.0,
2015-04-24,2015,NYY,NYM,413893.0,0.7190214460784314,,0.0,
2015-04-25,2015,SEA,MIN,413907.0,0.7348514357053684,,0.0,
2015-04-25,2015,TBR,TOR,413913.0,,0.7956829268292682,,0.0
2015-04-25,2015,MIA,WSN,413914.0,,0.7411328143430055,,0.0
2015-04-26,2015,CIN,CHC,413917.0,0.7189674796747967,,0.0,
2015-04-26,2015,MIL,STL,413926.0,0.7292168905950095,,0.0,
2015-04-27,2015,SDP,HOU,413933.0,0.7186411752448427,,0.0,
2015-04-28,2015,STL,PHI,413952.0,0.7468514824797844,,0.0,
2015-04-29,2015,SDP,HOU,413963.0,0.716307251908397,,1.0,
2015-04-29,2015,CIN,MIL,413965.0,0.6974580725907383,,0.0,
2015-04-29,2015,NYY,TBR,413971.0,0.7419538400318344,,1.0,
2015-04-30,2015,NYM,WSN,413981.0,,0.7365478664603139,,0.0
2015-04-30,2015,CLE,TOR,413980.0,,0.8516728791773779,,1.0
2015-04-30,2015,HOU,SEA,413979.0,,0.7481981469783112,,0.0
2015-05-01,2015,ATL,CIN,413985.0,,0.7384198062432722,,0.0
2015-05-01,2015,HOU,SEA,413993.0,0.756401469912724,,1.0,
2015-05-01,2015,TBR,BAL,,,,0.0,0.0
2015-05-02,2015,CHC,MIL,414003.0,,0.7290045610034207,,0.0
2015-05-02,2015,TBR,BAL,,,,0.0,0.0
2015-05-03,2015,TBR,BAL,,,,1.0,0.0
2015-05-03,2015,SDP,COL,414016.0,0.7161454248366014,,0.0,
2015-05-03,2015,STL,PIT,414022.0,0.7153816244239631,,0.0,
2015-05-05,2015,LAA,SEA,414050.0,,0.7588141552511416,,0.0
2015-05-05,2015,SFG,SDP,414049.0,,0.71333190433213,,0.0
2015-05-05,2015,WSN,MIA,414045.0,0.7444411971007716,,0.0,
2015-05-05,2015,TOR,NYY,414046.0,,0.7253382698636577,,0.0
2015-05-05,2015,PIT,CIN,414041.0,,0.7349985228951257,,1.0
2015-05-06,2015,HOU,TEX,414067.0,0.7382722077922078,,0.0,
2015-05-07,2015,PIT,CIN,414070.0,,0.7440345626975764,,0.0
2015-05-07,2015,MIL,LAD,414074.0,0.7519205091258404,,0.0,
2015-05-08,2015,ARI,SDP,414091.0,,0.7078078853046594,,0.0
2015-05-08,2015,PIT,STL,414092.0,,0.6646732729331823,,1.0
2015-05-10,2015,CHW,CIN,414113.0,,0.7494692960559161,,1.0
2015-05-10,2015,NYY,BAL,414110.0,0.7190214460784314,,0.0,
2015-05-10,2015,ARI,SDP,414121.0,,,,
2015-05-12,2015,ARI,WSN,414148.0,,0.7287676505312869,,0.0
2015-05-12,2015,MIL,CHW,414136.0,0.7341252624212736,,1.0,
2015-05-12,2015,CIN,ATL,414134.0,0.7388691817736404,,0.0,
2015-05-12,2015,SEA,SDP,414144.0,0.7230650263620386,,0.0,
2015-05-13,2015,SEA,SDP,414159.0,,0.7216864064602961,,0.0
