sent_at,game_date,alert_type,home,away,side,stake,odds,model_prob,vegas_prob,edge,lineup_status,home_sp,away_sp,game_time
2026-05-08T11:18:12-04:00,2026-05-08,early_actionable,CIN,HOU,CIN,2.37,-142.0,0.6132632970809937,0.5623711526637492,0.0508921444172445,pending,Nick Lodolo,Mike Burrows,6:10 PM
2026-05-08T11:18:19-04:00,2026-05-08,early_actionable,BAL,ATH,ATH,3.5,116.0,0.5138445198535919,0.4429939206350382,0.0708505992185537,pending,Kyle Bradish,Jacob Lopez,7:05 PM
2026-05-08T11:18:26-04:00,2026-05-08,early_actionable,BOS,TBR,TBR,2.67,115.3,0.5032531082630157,0.4447650407202951,0.0584880675427206,pending,Connelly Early,Jesse Scholtens,7:10 PM
2026-05-08T11:18:30-04:00,2026-05-08,early_actionable,MIA,WSN,MIA,2.25,-125.7,0.5839219808578491,0.5339327710928461,0.0499892097650029,pending,Robby Snelling,Foster Griffin,7:10 PM
2026-05-08T11:18:37-04:00,2026-05-08,early_actionable,KCR,DET,DET,3.64,122.7,0.5033958315849304,0.4289004024972455,0.0744954290876849,pending,Kris Bubic,Keider Montero,7:40 PM
2026-05-08T11:18:51-04:00,2026-05-08,early_actionable,ARI,NYM,ARI,6.93,114.3,0.5667625069618225,0.4461410860654391,0.1206214208963833,pending,Ryne Nelson,Nolan McLean,9:40 PM
2026-05-08T11:18:55-04:00,2026-05-08,early_actionable,SDP,STL,STL,4.02,126.0,0.5032531082630157,0.4229687274726823,0.0802843807903334,pending,Griffin Canning,Michael McGreevy,9:45 PM
2026-05-08T15:38:27-04:00,2026-05-08,early_actionable,TOR,LAA,LAA,7.38,138.3,0.5462703347206116,0.4016892335085634,0.1445811012120481,one confirmed,Dylan Cease,Reid Detmers,7:07 PM
2026-05-08T15:38:55-04:00,2026-05-08,early_actionable,MIL,NYY,NYY,2.33,-133.3,0.5983848631381988,0.5466055662766269,0.0517792968615719,pending,Jacob Misiorowski,Max Fried,7:40 PM
2026-05-08T15:39:15-04:00,2026-05-08,early_actionable,LAD,ATL,ATL,3.73,100.0,0.5505008101463318,0.4782608695652174,0.0722399405811143,pending,Emmet Sheehan,Chris Sale,10:10 PM
2026-05-08T16:09:43-04:00,2026-05-08,final_lineup,CIN,HOU,CIN,0.85,-142.0,0.5963432788848877,0.5623711526637492,0.0339721262211385,both confirmed,Nick Lodolo,Mike Burrows,6:10 PM
2026-05-08T16:09:50-04:00,2026-05-08,final_lineup,BAL,ATH,ATH,3.96,116.0,0.5205490171909333,0.4429939206350382,0.0775550965558951,both confirmed,Kyle Bradish,Jacob Lopez,7:05 PM
2026-05-08T16:09:58-04:00,2026-05-08,final_lineup,BOS,TBR,TBR,4.37,115.3,0.5278957068920136,0.4447650407202951,0.0831306661717184,both confirmed,Connelly Early,Jesse Scholtens,7:10 PM
2026-05-08T18:16:17-04:00,2026-05-08,final_lineup,KCR,DET,DET,5.36,122.7,0.529012531042099,0.4289004024972455,0.1001121285448535,both confirmed,Kris Bubic,Keider Montero,7:40 PM
2026-05-08T18:16:31-04:00,2026-05-08,final_lineup,ARI,NYM,ARI,3.55,114.3,0.5179779291152954,0.4461410860654391,0.0718368430498562,both confirmed,Ryne Nelson,Nolan McLean,9:40 PM
2026-05-09T10:36:57-04:00,2026-05-09,early_actionable,BAL,ATH,ATH,3.6,109.7,0.5278957068920136,0.45597125808759364,0.07192444880441995,pending,Shane Baz,Aaron Civale,4:05 PM
2026-05-09T10:37:04-04:00,2026-05-09,early_actionable,BOS,TBR,TBR,4.03,124.7,0.5056396901607514,0.4254034587829525,0.0802362313777989,pending,Payton Tolle,Nick Martinez,4:10 PM
2026-05-09T10:37:11-04:00,2026-05-09,early_actionable,PHI,COL,COL,6.66,151.7,0.506044989824295,0.3802577469306283,0.12578724289366672,pending,Aaron Nola,Kyle Freeland,6:05 PM
2026-05-09T10:37:22-04:00,2026-05-09,early_actionable,KCR,DET,DET,5.42,118.3,0.5376200497150421,0.4384169163710674,0.09920313334397468,pending,Michael Wacha,Burch Smith,7:10 PM
2026-05-09T10:37:32-04:00,2026-05-09,early_actionable,ARI,NYM,ARI,1.08,100.0,0.5146300256252289,0.4782608695652174,0.036369156060011454,pending,Merrill Kelly,Clay Holmes,7:15 PM
2026-05-09T10:37:36-04:00,2026-05-09,early_actionable,SDP,STL,STL,4.31,121.7,0.5151922225952148,0.4318198573941252,0.0833723652010896,pending,Randy Vásquez,Dustin May,7:15 PM
