stage,config,models,years,games,avg_accuracy,avg_log_loss,avg_brier,avg_auc,avg_confidence
confirm_blend_trees,current_15g_3sp_15bp__sp_bullpen,xgboost+lightgbm+catboost,3,5595,0.5539913733997627,0.6816493712467686,0.24456537896515484,0.5683414929434386,0.5635304117617493
confirm_blend_trees,current_15g_3sp_15bp__offense_sp,xgboost+lightgbm+catboost,3,5595,0.5529000518076587,0.6817469781238312,0.24461712753611375,0.5678521196036019,0.5635024479873668
confirm_blend_trees,short_7g_3sp_7bp__offense_sp,xgboost+lightgbm+catboost,3,5595,0.5523482580303901,0.681849194859696,0.24467957027939138,0.5671050147818253,0.5640610944246397
confirm_blend_trees,short_7g_3sp_7bp__all_re24,xgboost+lightgbm+catboost,3,5595,0.5531955916894086,0.6819500745910937,0.24472691283888906,0.5664823225272616,0.564481699514666
confirm_blend_trees,current_15g_3sp_15bp__sp_only,xgboost+lightgbm+catboost,3,5595,0.5532358761623238,0.6819888534038787,0.24473281976779193,0.5668102060450325,0.5633919344778547
confirm_blend_trees,short_7g_3sp_7bp__sp_only,xgboost+lightgbm+catboost,3,5595,0.5532358761623238,0.6819888534038787,0.24473281976779193,0.5668102060450325,0.5633919344778547
confirm_blend_trees,current_15g_3sp_15bp__bullpen_only,xgboost+lightgbm+catboost,3,5595,0.5546407509853765,0.6820388089670382,0.24474501166241835,0.5676224719831927,0.5644702115099566
screen_xgboost,current_15g_3sp_15bp__offense_sp,xgboost,3,5595,0.5540730220100559,0.6821422997901165,0.24477579503573196,0.5681230131177863,0.565348266432505
confirm_blend_trees,long_30g_5sp_15bp__offense_sp,xgboost+lightgbm+catboost,3,5595,0.553737197655391,0.6821677433498627,0.24483492553559405,0.5658556520356893,0.56414244791742
screen_xgboost,current_15g_3sp_15bp__sp_only,xgboost,3,5595,0.555694885036841,0.6822156926852626,0.24481068322579916,0.5673996215558413,0.56611120929128
screen_xgboost,short_7g_3sp_7bp__sp_only,xgboost,3,5595,0.555694885036841,0.6822156926852626,0.24481068322579916,0.5673996215558413,0.56611120929128
screen_xgboost,short_7g_3sp_7bp__offense_sp,xgboost,3,5595,0.5572824748052586,0.6823066594556058,0.2448725396752424,0.5670505895027831,0.5658263601838942
screen_xgboost,current_15g_3sp_15bp__sp_bullpen,xgboost,3,5595,0.5557564218523439,0.6823503875843112,0.24486938728220461,0.5680371294613281,0.5659982848406715
screen_xgboost,short_7g_3sp_7bp__all_re24,xgboost,3,5595,0.5517299958875337,0.6823521034640766,0.24487967776848052,0.5677094304024898,0.5660060396661182
screen_xgboost,long_30g_5sp_15bp__offense_sp,xgboost,3,5595,0.5515332412452606,0.6824038295547159,0.24491019694473296,0.5680356652177755,0.5669970427932797
screen_xgboost,current_15g_3sp_15bp__bullpen_only,xgboost,3,5595,0.5540992667860629,0.6824595056575173,0.24491148331255622,0.5680968167063316,0.5669129894048304
screen_xgboost,long_30g_5sp_15bp__bullpen_only,xgboost,3,5595,0.5540992667860629,0.6824595056575173,0.24491148331255622,0.5680968167063316,0.5669129894048304
screen_xgboost,longsp_15g_8sp_15bp__bullpen_only,xgboost,3,5595,0.5540992667860629,0.6824595056575173,0.24491148331255622,0.5680968167063316,0.5669129894048304
screen_xgboost,long_30g_5sp_15bp__sp_only,xgboost,3,5595,0.5511509385531296,0.6824792385520592,0.24494872065989004,0.568156955535955,0.5673518922884555
screen_xgboost,medium_15g_5sp_7bp__sp_only,xgboost,3,5595,0.5511509385531296,0.6824792385520592,0.24494872065989004,0.568156955535955,0.5673518922884555
screen_xgboost,short_7g_3sp_7bp__sp_bullpen,xgboost,3,5595,0.5506154655683638,0.6824976376008601,0.24494358042269457,0.5670168415590816,0.5659299065578248
screen_xgboost,current_15g_3sp_15bp__no_re24,xgboost,3,5595,0.5547266370757425,0.6825109633577858,0.24494761110595867,0.5675819025170162,0.5669956569663488
screen_xgboost,long_30g_5sp_15bp__no_re24,xgboost,3,5595,0.5547266370757425,0.6825109633577858,0.24494761110595867,0.5675819025170162,0.5669956569663488
screen_xgboost,longsp_15g_8sp_15bp__no_re24,xgboost,3,5595,0.5547266370757425,0.6825109633577858,0.24494761110595867,0.5675819025170162,0.5669956569663488
screen_xgboost,medium_15g_5sp_7bp__no_re24,xgboost,3,5595,0.5547266370757425,0.6825109633577858,0.24494761110595867,0.5675819025170162,0.5669956569663488
screen_xgboost,short_7g_3sp_7bp__no_re24,xgboost,3,5595,0.5547266370757425,0.6825109633577858,0.24494761110595867,0.5675819025170162,0.5669956569663488
screen_xgboost,short_7g_3sp_7bp__offense_only,xgboost,3,5595,0.5544309754273239,0.682544784629192,0.24496828550078176,0.5672857314324523,0.5666857493334791
screen_xgboost,medium_15g_5sp_7bp__offense_bullpen,xgboost,3,5595,0.5514586835139782,0.6825805820614445,0.24497208905999224,0.5679665906656867,0.5668628483338854
screen_xgboost,long_30g_5sp_15bp__offense_only,xgboost,3,5595,0.5538724154821612,0.6826174799424418,0.24499432112413966,0.5674844887903037,0.5668048814791954
screen_xgboost,current_15g_3sp_15bp__offense_bullpen,xgboost,3,5595,0.5547809612455659,0.6826734131683277,0.2450207392980083,0.5680640275571718,0.5667648309668517
screen_xgboost,longsp_15g_8sp_15bp__offense_bullpen,xgboost,3,5595,0.5547809612455659,0.6826734131683277,0.2450207392980083,0.5680640275571718,0.5667648309668517
screen_xgboost,longsp_15g_8sp_15bp__offense_sp,xgboost,3,5595,0.552050761764162,0.6826856221026881,0.24500897846181233,0.5683931785516212,0.5663960410800489
screen_xgboost,longsp_15g_8sp_15bp__sp_bullpen,xgboost,3,5595,0.5531934323604826,0.682730735689382,0.2450330045236888,0.5674097396725913,0.5667763985646728
screen_xgboost,current_15g_3sp_15bp__offense_only,xgboost,3,5595,0.5537694536459458,0.6827440735218131,0.24505060441576265,0.5673112177189569,0.5666169382991849
screen_xgboost,longsp_15g_8sp_15bp__offense_only,xgboost,3,5595,0.5537694536459458,0.6827440735218131,0.24505060441576265,0.5673112177189569,0.5666169382991849
screen_xgboost,medium_15g_5sp_7bp__offense_only,xgboost,3,5595,0.5537694536459458,0.6827440735218131,0.24505060441576265,0.5673112177189569,0.5666169382991849
screen_xgboost,long_30g_5sp_15bp__all_re24,xgboost,3,5595,0.5540225497258545,0.6827479454532615,0.24505058419302508,0.5676525903102195,0.5675889024504701
screen_xgboost,current_15g_3sp_15bp__all_re24,xgboost,3,5595,0.5540297623715341,0.6827521790460699,0.24505020071592865,0.5667223498234629,0.566099606339161
screen_xgboost,medium_15g_5sp_7bp__sp_bullpen,xgboost,3,5595,0.5519660162215932,0.6827571438930482,0.24508140586336888,0.566787293451185,0.5671416308153409
screen_xgboost,medium_15g_5sp_7bp__all_re24,xgboost,3,5595,0.5538903070646911,0.6827672843258049,0.24506031056474797,0.5674029989308961,0.5671855218932035
screen_xgboost,medium_15g_5sp_7bp__offense_sp,xgboost,3,5595,0.5516714951209719,0.682792698712138,0.245087787130288,0.5670081301801431,0.566665817792565
screen_xgboost,longsp_15g_8sp_15bp__sp_only,xgboost,3,5595,0.5550161657429448,0.6827935021915476,0.2450657922296652,0.5678498451548539,0.5663382466948572
screen_xgboost,medium_15g_5sp_7bp__bullpen_only,xgboost,3,5595,0.5521738353951678,0.6828494611406078,0.24511455016644945,0.5671888902419461,0.5670109568809106
screen_xgboost,short_7g_3sp_7bp__bullpen_only,xgboost,3,5595,0.5521738353951678,0.6828494611406078,0.24511455016644945,0.5671888902419461,0.5670109568809106
screen_xgboost,short_7g_3sp_7bp__offense_bullpen,xgboost,3,5595,0.5522676890845598,0.68287943878386,0.24512454466756303,0.5667632366173266,0.5668255925353547
screen_xgboost,longsp_15g_8sp_15bp__all_re24,xgboost,3,5595,0.5536372718681166,0.6828867926249367,0.24508103130865688,0.5681772081246298,0.5663937028902023
screen_xgboost,long_30g_5sp_15bp__offense_bullpen,xgboost,3,5595,0.5504319347863181,0.6829047332437868,0.2451208530734904,0.567046258878312,0.5671064724447142
