date,matchup,bet_side,stake,odds,model_prob,vegas_prob,edge,won,game_pnl,flat_pnl,bankroll,year
2021-04-01,LAD @ COL,COL,1.37,195.0,0.3752,0.3318,0.0433,True,2.67,1.95,102.67,2021
2021-04-01,CHW @ LAA,,0.0,,0.5481,0.5296,0.0185,,0.0,,102.67,2021
2021-04-01,SFG @ SEA,,0.0,,0.5328,0.5296,0.0032,,0.0,,102.67,2021
2021-04-01,PIT @ CHC,PIT,2.46,190.0,0.4077,0.3373,0.0704,True,4.67,1.9,107.34,2021
2021-04-01,STL @ CIN,CIN,3.68,-122.0,0.6113,0.5381,0.0732,False,-3.68,-1.0,103.66,2021
2021-04-01,TEX @ KCR,,0.0,,0.5925,0.5902,0.0024,,0.0,,103.66,2021
2021-04-01,ARI @ SDP,ARI,1.79,205.0,0.3743,0.3199,0.0544,False,-1.79,-1.0,101.87,2021
2021-04-01,TBR @ MIA,,0.0,,0.4258,0.4098,0.016,,0.0,,101.87,2021
2021-04-01,MIN @ MIL,MIN,1.55,-101.0,0.5328,0.4907,0.0421,False,-1.55,-1.0,100.32,2021
2021-04-01,TOR @ NYY,TOR,2.84,170.0,0.4417,0.3633,0.0784,True,4.83,1.7,105.15,2021
2021-04-01,HOU @ ATH,ATH,1.41,-108.0,0.5451,0.507,0.0381,False,-1.41,-1.0,103.74,2021
2021-04-01,ATL @ PHI,ATL,3.97,117.0,0.5433,0.4517,0.0916,False,-3.97,-1.0,99.77,2021
2021-04-01,CLE @ DET,DET,2.92,165.0,0.4502,0.3699,0.0803,True,4.82,1.65,104.59,2021
2021-04-02,CHW @ LAA,CHW,3.26,109.0,0.5436,0.4682,0.0753,True,3.55,1.09,108.14,2021
2021-04-02,TBR @ MIA,TBR,3.33,-101.0,0.5637,0.4907,0.073,True,3.3,0.99,111.44,2021
2021-04-02,HOU @ ATH,HOU,1.3,114.0,0.4922,0.4577,0.0344,True,1.48,1.14,112.92,2021
2021-04-02,LAD @ COL,COL,1.04,210.0,0.3475,0.3137,0.0338,False,-1.04,-1.0,111.88,2021
2021-04-02,SFG @ SEA,SFG,2.89,104.0,0.543,0.4792,0.0637,True,3.01,1.04,114.89,2021
2021-04-02,BAL @ BOS,BAL,3.43,161.0,0.4567,0.3773,0.0794,True,5.52,1.61,120.41,2021
2021-04-02,ARI @ SDP,ARI,4.81,190.0,0.4495,0.3373,0.1122,False,-4.81,-1.0,115.6,2021
2021-04-03,BAL @ BOS,BAL,3.55,156.0,0.4654,0.385,0.0804,True,5.54,1.56,121.14,2021
2021-04-03,STL @ CIN,,0.0,,0.5529,0.5296,0.0233,,0.0,,121.14,2021
2021-04-03,ARI @ SDP,ARI,3.16,190.0,0.4133,0.3373,0.076,False,-3.16,-1.0,117.98,2021
2021-04-03,LAD @ COL,,0.0,,0.6816,0.6735,0.0081,,0.0,,117.98,2021
2021-04-03,CLE @ DET,DET,1.51,142.0,0.4432,0.4066,0.0367,True,2.14,1.42,120.12,2021
2021-04-03,ATL @ PHI,,0.0,,0.5269,0.5162,0.0106,,0.0,,120.12,2021
2021-04-03,TEX @ KCR,TEX,1.43,152.0,0.4255,0.3909,0.0346,False,-1.43,-1.0,118.69,2021
2021-04-03,CHW @ LAA,,0.0,,0.5433,0.523,0.0202,,0.0,,118.69,2021
2021-04-03,HOU @ ATH,ATH,2.24,118.0,0.4996,0.4497,0.05,False,-2.24,-1.0,116.45,2021
2021-04-03,TOR @ NYY,TOR,2.82,152.0,0.4553,0.3909,0.0644,False,-2.82,-1.0,113.63,2021
2021-04-03,MIN @ MIL,MIN,3.8,120.0,0.5275,0.4457,0.0817,True,4.56,1.2,118.19,2021
2021-04-03,SFG @ SEA,SFG,1.62,-115.0,0.5603,0.523,0.0373,False,-1.62,-1.0,116.57,2021
2021-04-03,PIT @ CHC,PIT,2.68,149.0,0.4567,0.3955,0.0613,False,-2.68,-1.0,113.89,2021
2021-04-03,TBR @ MIA,TBR,1.32,-106.0,0.5372,0.5023,0.0348,False,-1.32,-1.0,112.57,2021
2021-04-04,ATL @ PHI,,0.0,,0.5334,0.5162,0.0172,,0.0,,112.57,2021
2021-04-04,HOU @ ATH,HOU,1.12,106.0,0.5059,0.4748,0.0312,True,1.19,1.06,113.76,2021
2021-04-04,TEX @ KCR,,0.0,,0.4185,0.3939,0.0246,,0.0,,113.76,2021
2021-04-04,TOR @ NYY,TOR,4.0,164.0,0.4662,0.3717,0.0945,True,6.56,1.64,120.32,2021
2021-04-04,ARI @ SDP,ARI,3.91,180.0,0.4407,0.3488,0.0919,True,7.04,1.8,127.36,2021
