team,year,ops_vs_lhp,ops_vs_rhp,pa_vs_lhp,pa_vs_rhp
ARI,2015,0.736,0.739,1434,4842
ATL,2015,0.641,0.684,1526,4508
BAL,2015,0.664,0.752,1628,4379
BOS,2015,0.753,0.734,1752,4485
CHC,2015,0.691,0.728,1404,4796
CHW,2015,0.645,0.7,1483,4587
CIN,2015,0.711,0.704,1561,4635
CLE,2015,0.736,0.72,2097,4012
COL,2015,0.677,0.772,1559,4512
DET,2015,0.806,0.732,1352,4807
HOU,2015,0.753,0.751,2047,4026
KCR,2015,0.729,0.737,2080,4036
LAA,2015,0.668,0.716,1644,4346
LAD,2015,0.755,0.733,1632,4458
MIA,2015,0.736,0.682,1305,4683
MIL,2015,0.674,0.709,1438,4586
MIN,2015,0.729,0.694,1791,4226
NYM,2015,0.723,0.709,1387,4758
NYY,2015,0.75,0.741,1990,4278
OAK,2015,0.712,0.705,1721,4450
PHI,2015,0.693,0.682,1614,4439
PIT,2015,0.686,0.728,1403,4882
SDP,2015,0.671,0.689,1410,4609
SEA,2015,0.731,0.716,2003,4128
SFG,2015,0.707,0.741,1649,4504
STL,2015,0.662,0.735,1684,4455
TBR,2015,0.759,0.703,1872,4199
TEX,2015,0.735,0.741,2266,3921
TOR,2015,0.817,0.79,1418,4814
WSN,2015,0.756,0.714,1392,4725
ARI,2016,0.82,0.73,1552,4708
ATL,2016,0.68,0.715,1712,4480
BAL,2016,0.693,0.783,1531,4558
BOS,2016,0.796,0.814,1513,4807
CHC,2016,0.806,0.759,1719,4616
CHW,2016,0.755,0.719,1361,4770
CIN,2016,0.699,0.731,1431,4663
CLE,2016,0.749,0.763,1833,4322
COL,2016,0.76,0.807,1774,4462
DET,2016,0.754,0.775,1675,4452
HOU,2016,0.731,0.736,1757,4447
KCR,2016,0.759,0.694,1652,4400
LAA,2016,0.727,0.726,1427,4614
LAD,2016,0.624,0.772,1803,4361
MIA,2016,0.718,0.716,1340,4794
MIL,2016,0.764,0.717,1647,4414
MIN,2016,0.75,0.733,1659,4586
NYM,2016,0.755,0.726,1428,4687
NYY,2016,0.71,0.724,1870,4189
OAK,2016,0.694,0.7,1520,4502
PHI,2016,0.667,0.691,1373,4619
PIT,2016,0.762,0.728,1164,5097
SDP,2016,0.732,0.675,1524,4477
SEA,2016,0.749,0.76,2131,4096
SFG,2016,0.707,0.737,2014,4257
STL,2016,0.741,0.777,1673,4550
TBR,2016,0.74,0.731,1493,4553
TEX,2016,0.758,0.754,1497,4592
TOR,2016,0.747,0.758,1512,4721
WSN,2016,0.783,0.742,1413,4788
ARI,2017,0.74,0.787,1665,4559
ATL,2017,0.769,0.73,1364,4852
BAL,2017,0.752,0.745,1601,4539
BOS,2017,0.759,0.73,1413,4925
