game_date,game_id,home_team,away_team,ump_name
2015-04-10,ANA201504100,LAA,KCR,millb901
2015-04-11,ANA201504110,LAA,KCR,eddid901
2015-04-12,ANA201504120,LAA,KCR,wolfj901
2015-04-20,ANA201504200,LAA,OAK,wegnm901
2015-04-21,ANA201504210,LAA,OAK,fostm901
2015-04-22,ANA201504220,LAA,OAK,muchm901
2015-04-23,ANA201504230,LAA,OAK,wintm901
2015-04-24,ANA201504240,LAA,TEX,reynj901
2015-04-25,ANA201504250,LAA,TEX,fagac901
2015-04-26,ANA201504260,LAA,TEX,gonzm901
2015-05-04,ANA201505040,LAA,SEA,joycj901
2015-05-05,ANA201505050,LAA,SEA,gibsg901
2015-05-06,ANA201505060,LAA,SEA,hudsm901
2015-05-07,ANA201505070,LAA,HOU,westj901
2015-05-08,ANA201505080,LAA,HOU,danlk901
2015-05-09,ANA201505090,LAA,HOU,drakr901
2015-05-10,ANA201505100,LAA,HOU,morag901
2015-05-12,ANA201505120,LAA,COL,davig901
2015-05-13,ANA201505130,LAA,COL,cuzzp901
2015-05-25,ANA201505250,LAA,SDP,barrs901
2015-05-26,ANA201505260,LAA,SDP,barrt901
2015-05-27,ANA201505270,LAA,SDP,conrc901
2015-05-28,ANA201505280,LAA,DET,hamaa901
2015-05-29,ANA201505290,LAA,DET,littw901
2015-05-30,ANA201505300,LAA,DET,cuzzp901
2015-05-31,ANA201505310,LAA,DET,davig901
2015-06-01,ANA201506010,LAA,TBR,rippm901
2015-06-02,ANA201506020,LAA,TBR,hobep901
2015-06-03,ANA201506030,LAA,TBR,kellj901
2015-06-12,ANA201506120,LAA,OAK,barrt901
2015-06-13,ANA201506130,LAA,OAK,conrc901
2015-06-14,ANA201506140,LAA,OAK,herna901
2015-06-15,ANA201506150,LAA,ARI,millb901
2015-06-16,ANA201506160,LAA,ARI,eddid901
2015-06-22,ANA201506220,LAA,HOU,tumpj901
2015-06-23,ANA201506230,LAA,HOU,hoyej901
2015-06-24,ANA201506240,LAA,HOU,hirsj901
2015-06-26,ANA201506260,LAA,SEA,fagac901
2015-06-27,ANA201506270,LAA,SEA,nelsj901
2015-06-28,ANA201506280,LAA,SEA,blasc901
2015-06-29,ANA201506290,LAA,NYY,gonzm901
2015-06-30,ANA201506300,LAA,NYY,schrp901
2015-07-01,ANA201507010,LAA,NYY,culbf901
2015-07-17,ANA201507170,LAA,BOS,davib902
2015-07-18,ANA201507180,LAA,BOS,wendh902
2015-07-20,ANA201507201,LAA,BOS,hudsm901
2015-07-20,ANA201507202,LAA,BOS,hobep901
2015-07-21,ANA201507210,LAA,MIN,westj901
2015-07-22,ANA201507220,LAA,MIN,danlk901
2015-07-23,ANA201507230,LAA,MIN,drakr901
2015-07-24,ANA201507240,LAA,TEX,knigb901
2015-07-25,ANA201507250,LAA,TEX,vanol901
2015-07-26,ANA201507260,LAA,TEX,kulpr901
2015-08-03,ANA201508030,LAA,CLE,blasc901
2015-08-04,ANA201508040,LAA,CLE,nelsj901
2015-08-05,ANA201508050,LAA,CLE,hobep901
2015-08-07,ANA201508070,LAA,BAL,cuzzp901
2015-08-08,ANA201508080,LAA,BAL,davig901
2015-08-09,ANA201508090,LAA,BAL,littw901
2015-08-17,ANA201508170,LAA,CHW,hicke901
2015-08-18,ANA201508180,LAA,CHW,nauep901
2015-08-19,ANA201508190,LAA,CHW,demud901
2015-08-20,ANA201508200,LAA,CHW,estam901
2015-08-21,ANA201508210,LAA,TOR,nelsj901
2015-08-22,ANA201508220,LAA,TOR,diazl901
2015-08-23,ANA201508230,LAA,TOR,guccc901
2015-09-04,ANA201509040,LAA,TEX,wegnm901
2015-09-05,ANA201509050,LAA,TEX,fostm901
2015-09-06,ANA201509060,LAA,TEX,wintm901
2015-09-07,ANA201509070,LAA,LAD,gibsh902
2015-09-08,ANA201509080,LAA,LAD,morag901
2015-09-09,ANA201509090,LAA,LAD,holbs901
2015-09-11,ANA201509110,LAA,HOU,marqa901
2015-09-12,ANA201509120,LAA,HOU,hallt901
2015-09-13,ANA201509130,LAA,HOU,belld901
2015-09-25,ANA201509250,LAA,SEA,davib902
2015-09-26,ANA201509260,LAA,SEA,wendh902
2015-09-27,ANA201509270,LAA,SEA,hudsm901
2015-09-28,ANA201509280,LAA,OAK,carlm901
2015-09-29,ANA201509290,LAA,OAK,gibsh902
2015-09-30,ANA201509300,LAA,OAK,guccc901
2015-04-06,ARI201504060,ARI,SFG,cedeg901
2015-04-07,ARI201504070,ARI,SFG,coope901
2015-04-08,ARI201504080,ARI,SFG,drakr901
2015-04-10,ARI201504100,ARI,LAD,conrc901
2015-04-11,ARI201504110,ARI,LAD,barrt901
2015-04-12,ARI201504120,ARI,LAD,herna901
2015-04-21,ARI201504210,ARI,TEX,welkt901
2015-04-22,ARI201504220,ARI,TEX,everm901
2015-04-24,ARI201504240,ARI,PIT,randt901
2015-04-25,ARI201504250,ARI,PIT,davig901
2015-04-26,ARI201504260,ARI,PIT,woodt901
2015-04-27,ARI201504270,ARI,COL,wintm901
2015-04-28,ARI201504280,ARI,COL,wegnm901
2015-04-29,ARI201504290,ARI,COL,fostm901
2015-05-07,ARI201505070,ARI,SDP,fairc901
2015-05-08,ARI201505080,ARI,SDP,joycj901
2015-05-09,ARI201505090,ARI,SDP,gibsg901
2015-05-10,ARI201505100,ARI,SDP,hudsm901
2015-05-11,ARI201505110,ARI,WSN,westj901
2015-05-12,ARI201505120,ARI,WSN,danlk901
2015-05-13,ARI201505130,ARI,WSN,drakr901
2015-05-22,ARI201505220,ARI,CHC,barrt901
2015-05-23,ARI201505230,ARI,CHC,conrc901
2015-05-24,ARI201505240,ARI,CHC,herna901
2015-06-01,ARI201506010,ARI,ATL,culbf901
2015-06-02,ARI201506020,ARI,ATL,reynj901
