test_year,odds_bucket,edge_threshold,prior_bets,prior_flat_roi,policy_name,reason,profitable_years,total_years,score
2021,+130:+170,0.06,0,,fallback_underdog_130_170_6pct,bootstrap: no prior seasons,,,
2022,<-180,,48,,walkforward_tuned_through_2021,no profitable threshold found,,,
2022,-180:-140,0.04,113,0.1306,walkforward_tuned_through_2021,selected,1.0,1.0,0.0492
2022,-140:-115,,491,,walkforward_tuned_through_2021,no profitable threshold found,,,
2022,-115:+100,,436,,walkforward_tuned_through_2021,no profitable threshold found,,,
2022,+100:+130,0.09,222,0.0211,walkforward_tuned_through_2021,selected,1.0,1.0,0.0156
2022,+130:+170,0.07,409,0.1326,walkforward_tuned_through_2021,selected,1.0,1.0,0.1326
2022,+170+,0.06,551,0.0161,walkforward_tuned_through_2021,selected,1.0,1.0,0.0161
2023,<-180,0.04,44,0.001,walkforward_tuned_through_2022,selected,1.0,2.0,0.0001
2023,-180:-140,0.04,213,0.1509,walkforward_tuned_through_2022,selected,2.0,2.0,0.1071
2023,-140:-115,,763,,walkforward_tuned_through_2022,no profitable threshold found,,,
2023,-115:+100,,771,,walkforward_tuned_through_2022,no profitable threshold found,,,
2023,+100:+130,,1892,,walkforward_tuned_through_2022,no profitable threshold found,,,
2023,+130:+170,0.06,981,0.0592,walkforward_tuned_through_2022,selected,1.0,2.0,0.0592
2023,+170+,,1507,,walkforward_tuned_through_2022,no profitable threshold found,,,
2024,<-180,,306,,walkforward_tuned_through_2023,no profitable threshold found,,,
2024,-180:-140,0.06,210,0.1387,walkforward_tuned_through_2023,selected,3.0,3.0,0.0971
2024,-140:-115,0.09,107,0.0478,walkforward_tuned_through_2023,selected,2.0,3.0,0.017
2024,-115:+100,,1015,,walkforward_tuned_through_2023,no profitable threshold found,,,
2024,+100:+130,,2324,,walkforward_tuned_through_2023,no profitable threshold found,,,
2024,+130:+170,0.09,675,0.136,walkforward_tuned_through_2023,selected,3.0,3.0,0.136
2024,+170+,,1902,,walkforward_tuned_through_2023,no profitable threshold found,,,
2025,<-180,,435,,walkforward_tuned_through_2024,no profitable threshold found,,,
2025,-180:-140,0.06,262,0.1067,walkforward_tuned_through_2024,selected,3.0,4.0,0.0932
2025,-140:-115,,1290,,walkforward_tuned_through_2024,no profitable threshold found,,,
2025,-115:+100,,1267,,walkforward_tuned_through_2024,no profitable threshold found,,,
2025,+100:+130,,2829,,walkforward_tuned_through_2024,no profitable threshold found,,,
2025,+130:+170,0.09,768,0.1193,walkforward_tuned_through_2024,selected,3.0,4.0,0.1193
2025,+170+,,2213,,walkforward_tuned_through_2024,no profitable threshold found,,,
2026,<-180,,568,,walkforward_tuned_through_2025,no profitable threshold found,,,
2026,-180:-140,,1311,,walkforward_tuned_through_2025,no profitable threshold found,,,
2026,-140:-115,,1487,,walkforward_tuned_through_2025,no profitable threshold found,,,
2026,-115:+100,,1429,,walkforward_tuned_through_2025,no profitable threshold found,,,
2026,+100:+130,,3328,,walkforward_tuned_through_2025,no profitable threshold found,,,
2026,+130:+170,0.08,1070,0.0927,walkforward_tuned_through_2025,selected,4.0,5.0,0.0927
2026,+170+,,2507,,walkforward_tuned_through_2025,no profitable threshold found,,,
